stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,10.66,44.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.42,0,0,0,25.92,0,19.36,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,26.02,0,11.28,0,0,0,0,0
 14-21,0,0,2.54,2.66,0,0,0,1.22,2.02,0,0,0,4.11,4.07,0.81,0
 24-34,0,0,1.43,0,1.6,0,0,1.29,6.77,0,0,0.61,0,0,1.93,0.85
 36-46,0,0,0,0,1.48,0,0,0,1.69,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,8.73,0,2.38,5.92,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.61,0,0,5.92,5.91,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.56,0.56,0,0,0.72,0,0,0,0,0,0
 96-106,0,0,0,0,1.2,0,0,0,0.57,0.83,0,1.49,0,0,0,0
108-118,0,0,0.56,0,0,1.12,0.77,0,1.96,0,0,0,0,0,0,0
120,0,0,1.31,0,0,0,0,0,14.86,0,0,1.35,0,0,0,0
