stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  5-6,10.05,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.4,0,0,0,0,0,12.21,0,5.7,0,0,0
 10-12,0,0,0,0,0,0,0,13.16,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,4.01,0,0,0,0.93,3.22
 24-34,0,0,0,0,0,0,2.1,10.13,0.96,0,0.7,0,4.83
 36-46,0,0,0.9,3.78,0.58,0.84,0,6.28,0,0,0,0,0
 48-58,0,0,0.79,5.33,0,0.42,0.48,7.66,0,0,1.47,0,0
 60-70,0,0,0,3.2,0,0,0,6.62,0,0,0,0,0
 72-82,0,0,0,3.44,0,0,0,0.83,0,0,0,0,0
 84-94,0,0,0,1.47,0,0.82,0,7.94,0,0,1.59,0,0
 96-106,0,0,0,1.15,0,0,0,2.73,0,0,0,0,0
108-118,0,0,0,0,0,1.22,0,5.8,0,0,0,0,0
120,0,0,0,0,0,0,0,2.8,0,0,0,0,0
