stage,mesenchyme,muscle,neural,vasculature
 24-34,0,0,0,1.36
 36-46,0,0,0,0.91
 48-58,2.2,0.62,0,0
 72-82,6.18,0,4.56,0
 84-94,1.12,0,0,0
 96-106,4.96,2.15,0,0
108-118,8.23,0,2.41,0
