stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0
 14-21,0,0,43.15,0,0,0,0,0,0,0,32.25,0,0,0,0,2.1,0,0
 24-34,0,0,182.29,0,0.61,0,0,0,0,0.67,128.54,0,0,0,0.61,4.64,0,0
 36-46,0,0,94.18,0,0,0,0,3.6,0,0,61.06,3.12,0,0,0,5.23,0,0
 48-58,0,0,53.8,0,0,0.44,0,4.85,0,0,44.54,0,0,1.68,0,6.14,0,1.87
 60-70,0,0,15.94,2.24,0,0,0.66,7.77,0,0,35.86,0.72,0,0,0,4.17,0,0
 72-82,1.84,0,11.12,0,0.87,0.83,0,16,0,0,31.19,0,0,0,0,0,0.63,0
 84-94,0.96,2.94,17.09,0,0,0,0,11.89,1.02,0,6.29,2.81,0,0,0,0,2.64,0
 96-106,0,0,8,0,0,0,0,4.57,0,0,6.4,0,0,0,0,0,0,0
108-118,1.13,0,8.33,0,0,0,0,2.58,0,0,12.97,0,0,0,0,0,1.1,0
120,0,0,6.12,0,0,0,0,7.25,0,0,32.61,0,0,0,0,0,0,0
