stage,endocrine_pancreas,epidermis,erythrocytes,glial,gut,liver,mesenchyme,neural,spinal_cord,visceral_smooth_muscle
 24-34,0,0,0,0,0,0,0.67,0,0,0
 48-58,0,0,0,0,0,2.75,0,0,0,0
 60-70,0,0,0,0,1.47,0,0,0,0.69,0
 72-82,0,0.52,0.73,0,0,1.54,0,2.26,0,0
 84-94,0,0,0,0.84,2.04,0,0,6.78,0,0.68
 96-106,0,0,0,0,8.01,0,0,6.3,0,0
108-118,0.61,2.3,0,0,6,0,0,0,0,0
120,0,0,0,0,7.48,0,0,1.92,0,0
