stage,eye,neural,spinal_cord,vasculature
  7-9,0,14.67,0,0
 24-34,0,2.71,2.28,0
 36-46,0,0,1.57,0
 48-58,0.39,1.43,0.77,0
 84-94,0,0,0,0.97
