stage,endocrine_pancreas,eye,glial,neural,spinal_cord
 24-34,0,0,0,1,0
 36-46,0,0,0,5.75,0.59
 48-58,0,0,0,6.23,0
 60-70,0,8.08,0,9.76,1.97
 72-82,0.58,2.03,0,8.6,0
 84-94,0,0.74,0.68,7.92,1.52
 96-106,0,11.59,0,3.69,0
108-118,0,0,0,3.77,0
120,0,0,0,6.11,0
