stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,hatching_gland,iridophores,mesenchyme,neural,olfactory,periderm,somites
  3-4,9.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.88,0,3.3,0,0,4.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.67,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0.67,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.57,0,1.13,0
 48-58,0,0,0,0,0,0,0,0,4.2,0,0,0
 72-82,0,0,0,0,0,0,2.8,0.53,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.8,0,2.65,0
 96-106,0,0,0,0,0,0,0,0,1.8,1.82,0.87,0
108-118,0,0,0,0,0,0,0,0,0.7,0,0,0
120,0,0,1.6,8.22,5.72,0,0,0,0,0,0,0
