stage,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,immune,neural,paraxial_mesoderm,periderm,pronephros
  3-4,38.04,0,0,0,0,0,0,0,0,54.73,0
  5-6,43.18,0,0,0,0,0,0,0,7.98,162.8,0
  7-9,0,0,0,0,0,8.13,0,18.22,8.71,37.07,0
 10-12,0,17,0,5.53,0,0,0,29.76,10.85,4.49,10.14
 14-21,0,0,2.06,0,0,0,0,0,0,0,0
 24-34,0,0,1.7,0,0,0,0,4.23,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.86
 48-58,0,0,0,0,0,0,4.99,0.47,0,0,0
 60-70,0,0,0,0,0,0,7.02,0,0,0,0
 72-82,0,0,0,0,0,0,1.33,0,0,0,0
 84-94,0,0,0,0,0,0.99,2.58,0,0,0,0
 96-106,0,0,0.63,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,5.41,0,0,0,0
120,0,0,0,0,7.72,0,1.69,0,0,0,0
