stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,xanthophores
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.18,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,0,0,1.23,0,0
 24-34,0,0,0.74,0,0,0,0,0,0,4.79,0,1.16,0,0,0,0
 36-46,0,0,0,1.07,0,0,0,0,1.58,9.1,0.6,0,5.56,0,0,0
 48-58,0,0,0,1.37,4.22,0,0,0,0,14.46,0,0,0,0,1.67,6.74
 60-70,0,0,0,12.94,0,1.17,0,0,0,22.48,0,0,0,0,4.1,0
 72-82,0,0,0,19.76,0,2.96,0,0,0,14.09,0,0,0,0,2.01,0
 84-94,0,0,0,18.16,0,0,0,0,0,4.75,0,0,0,0,0,0
 96-106,0,0,0,16.86,0,0,0,0,0,15.43,0,0,0,0,6.91,0
108-118,0,0,0.74,4.33,0.86,0,2.72,0,0.48,7.13,0,0,0,0,2.64,0
120,0,0,0,15.58,0,2.83,0,6.89,1.03,13.95,0,0,0,0,9.81,0
