stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,240.9,1884.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.28,0,0,0,0,0,0,0,0
  5-6,143.9,1447.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.58,0,0,0,0,57.77,0,0,0,0,0,0,0,0
  7-9,46.58,21.53,4.33,0,0,0,84.8,0,0,0,0,32.73,0,0,0,0,0,0,0,771.4,11.85,0,0,239.92,0,16.37,0,0,0,0,0,0,0
 10-12,0,18,21.72,0,0,0,55.55,0,0,0,0,0,0,0,0,0,0,0,0,352.82,14.53,0,0,108.23,0,9.33,0,20.95,0,0,0,0,0
 14-21,0,0,3.55,36.46,5.35,0,20.35,0,0,4.3,2.34,2.15,0,1.83,0,0,18.03,0,29.9,238.14,0,1.37,1.24,7.41,8.62,0.91,25.42,1.76,14.07,30.67,0,0,0
 24-34,0,0,0,9.54,2.85,0,30.66,0.71,0,3.12,2.67,0,0,0,0,0,30.43,0,6.08,268.89,0,0.99,1.4,0,11.13,0,0,4.06,1.98,63.19,0,4.03,0
 36-46,0,0,0,2.62,2.81,0,72.84,0,0,0.76,0,0,0,0,8.43,0,26.03,0,2.82,171.35,1.44,0,0,0,8.36,0,0,0,0,44.93,0,4.07,0
 48-58,0,0,0,4.95,1.52,0,65.76,0,1,5.28,0,0,0,0,0,0,22.26,0.63,7.81,75.89,0,0,0,0,6.38,0,0,0,0,20.12,0,11.16,0
 60-70,0,0,0,1.56,0,0,34.12,0,0,9.91,0,0,0,0,0,0,17.72,3.29,0,70.87,0,2.33,0,0,0,0,0,0,0,3.43,0,1,0
 72-82,0,0,0,0,1.71,0,16.64,0,0.82,6.31,0,0,0,0,0,0,17.13,0,1.29,18.8,0,0,0.89,0,0,0,0,0,0,2.31,0,0,1.15
 84-94,0,0,0,0.6,3.5,0,20.29,0,1.9,2.05,0,0,0,0,0,0,20.49,0.6,0,49.9,0,0,1.07,0,1.01,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.56,0,10.19,0,0,4.95,0,0,0,0,0,0,8.84,0,0,26.41,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.24,0.59,5.91,8.84,0,0.56,0.85,0,0,0.42,0,0,0,8.19,0,0,20.27,0,0,0,0,0,0,0,1.37,0,0,0.67,3.07,0
120,0,0,0,0,0,0,11.27,0,0,6.7,1.91,0,1.3,0,0,3.38,1.59,0,1.47,8.03,0,0,0,0,0,0,0,0,0,0,0,3.14,0
