stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,0,0,0,0,19.51,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,16.91,28.89,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.86,4.57,0.87,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,17.39,703.9,3.47,0,0,0,0,4.34,6.18,9.56,2.87,12.75,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.77,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0.8,0,0,47.36,35.77,6.4,0,0,0,0,0,39.23,1.99,3.02,19.64,0,0,0.62,0,0
 36-46,0,0,0,0,0.77,0,0,1.65,0,1.75,0,2.7,0,0,0,0,0,0,0,0,0,4.72,0.98,0.59,214.55,56.35,5.99,0,0,0,0,0,29.07,18.8,1.3,32.78,0,0,2.85,0,0
 48-58,0,0,0,0,0.42,0,0,13.97,2.12,0,0,0,0,0,0,0,0,0,0,0,0.86,17.23,0,0.57,224.9,20.07,3.97,0.48,0,0,2.76,0,13.32,4.59,0,22.22,0,0,0,0,0
 60-70,0,0,0.86,0,4.02,0,0,91.28,0,0,0,10.05,2.05,0,0.58,11.42,0,0,0,2.11,0,40.93,0,0,810.97,42.52,1.19,0,0,0,0,0,9.75,0,0,27.95,0,1.54,0.87,0,0
 72-82,0,0,4.72,0,1.97,1.17,0.75,201.51,5.44,0,0.93,20.02,2.28,0,1.95,0,0,2.63,0.51,2.85,0,91.93,0,2.42,759.32,0,1.23,0,0,0.83,0,0,41.85,0,0,34.82,0,1.25,0,2.14,8.46
 84-94,0,0,4.89,0,5.28,0,5.69,122.62,0.75,1.61,1.3,10.85,3.98,0,1.52,0,0.75,0.7,0,13.55,0,75.5,0,0.57,447.34,2.74,2.76,0.6,0,1.68,5.85,0,38.66,0,0,20.54,2.04,0,0.58,0,0
 96-106,0,0,4.38,0,11.39,0,2.14,161.48,3.83,1.94,0,34.32,3.46,0,1.3,6.05,0,1.28,0,0.7,0,146.85,2.28,0.57,519.51,4.14,4.82,2.39,0,1.47,8.44,0,46.02,0,0,37.71,0,0,0.78,0,2.73
108-118,0,0,2.94,0,18.78,0,15.53,108.31,2.6,2.92,0,24.98,7.99,0,0,3.47,0,5.22,0.45,0,0,118.34,0,3.57,804.3,10.03,2.77,1.79,0,7.07,2.27,0,26.06,0,0,9.67,0,0,0,1.44,0
120,2.37,0,3.64,0,21.95,0,7.64,130.5,0,0,23.01,16.96,1.3,0,3.06,4.76,4.55,0,0,0,0,121.9,0,11.22,991.03,5.86,0,0,0,12.2,0,0,19.66,0,0,49.9,0,0,0,0,0
