stage,eye,mesenchyme,neural,olfactory,spinal_cord
 24-34,0,0,2.07,0,1.17
 36-46,0,1.07,2.24,0.6,0
 48-58,0,0,1.34,0,0
 60-70,0.83,0,0.87,0,0
 84-94,0,6.32,0,0,0.83
 96-106,0,0,1.64,0,0
