stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,78.98,2103.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.51,0,0,0
  5-6,42.75,717.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0
  7-9,13.68,0,0,0,0,0,7.69,0,0,0,3.22,0,0,0,0,0,33.32,0,0,5.4,0,0,0,0
 10-12,0,0,0,4.81,0,0,16.33,0,0,0,0,0,0,0,0,0,65.89,0,0,5.61,0,0,0,0
 14-21,0,0,0,0,0,1.97,0,0,1.05,0,0,0,0,1.84,0,0,9.52,3.12,0,0,0,0.91,0,5.55
 24-34,0,0,0,1.25,0,0,3.16,0,2.74,0,0,0,0,0,0.86,0,6.71,0.6,0,0,0.73,0,1.58,2.76
 36-46,0,0,0,0,0,0,7.76,0,2.11,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,15.51
 48-58,0,0,0,0,2.17,0,0.85,0.67,9.9,0,0,0,0,0,0.79,0,12.82,1.58,0,0,1.67,0,0,4.1
 60-70,0,0,0,0,0,0,118.02,0.63,6.53,0,0,0,0,0,0,0,3.43,2.9,0,0,1.43,0,0,0.93
 72-82,0,0,0,0,0,0,352.48,0,16.85,0,0,0,4.18,0,4.09,0.59,16.69,0,0,0,0,0,0,1.65
 84-94,0,0,0,0,1.52,0,425.53,0,8.49,0.57,0,0,0,0,3.66,0,13.63,1.68,0,0,1.03,0,0,0
 96-106,0,0,0.61,0,0,0,416.43,0,6.05,0,0,0.74,0,0,12.19,0,4.15,2.05,0.74,0,2.43,0,0,5.78
108-118,0,0,0,0,3.33,0,369.44,1.01,6.52,0,0,0.45,1.55,0,0.49,0,10.19,1.75,0,0,2.2,0,0,0.92
120,0,0,0,0,12.54,0,445.52,0,8.61,11.54,0,0,0,1.85,0,0,24.97,0,0,0,0,0,0,0
