stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.86,4.73,0,0,0,10.74,0,0,0,0,0,1.72,0,0,19.7,3.43,0.86,0,3.34,4.73,5.89,18.89,0,3.7,21.32,3.04,0,0
 24-34,0,0,0,0,0.59,0.9,7.75,0,0,0,0,0,1.3,0,2.67,20.3,0.7,0.98,1.1,0,0.83,0,0.74,0,2.66,25.34,4.66,0,0
 36-46,0,0,0,0,19.9,0,3.61,0,2.15,0,0,0,5.21,0,1.13,63.28,0,4.94,0,0,0.72,0,0,0,0,24.4,0.59,0,5.09
 48-58,0,1.44,0,0,40.2,0,7.59,1.15,1.49,0,0,0,6.12,0,0.88,47.94,0,0,0.41,0,0,0,0.73,2.26,0,8.43,0.62,0,0
 60-70,0,0,0,0,32.75,0,3.98,0,1.62,0,0,0,6.41,0,1.75,45.79,2.03,0,0,0,3.62,0,0,0,0,16.17,0,0,0
 72-82,0,0,4.28,0,8.69,0,0,0,1.36,0,0,0,1.52,0,0,15.62,0,0,2.29,0,3.77,0,0,0,0,4.18,0.95,0,0
 84-94,0,3.04,0,0,7.44,0,2.08,0,1.5,0,0,0,1.05,3.76,0,22.04,0,0,0,0,2.84,0,0.7,0,0,1.13,0,0,0
 96-106,0,2.44,0,0,18.98,0,1.09,0,2.27,1.13,0,0,4.55,0,2,12.7,0,2.35,0,0,1.56,0,0,0,0,0,1.7,1.94,0
108-118,0,0.92,0,1.78,12.81,0,3.3,0,6.01,0,0,0.74,4.56,0,0,25.09,0,0.46,0,0,0,0,0,0,0,3.18,0,0,0
120,0,4,16.67,0,4.44,2.45,20.58,0,9.91,1.77,1.23,0,15.41,0,0,76.42,2.12,0,1.43,0,4.12,0,4.05,0,0,0,7.51,0,0
