stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,291.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.13,0,5.43,0,0,0,39.55,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0,248.72,7.75,0,0,95.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.29,0,0,0,0,0,19.88,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,231.59,0,0,0,37.83,0,0,27.19,0,0,0,0,0,0,0,0
 14-21,0.89,0.93,1.91,9.88,57.96,20.93,0,17.02,0,0,7.91,2.62,4.12,0,0,1.68,0,0,0,0,27.74,0,0,15.74,241.11,4.54,1.13,9.07,14.57,7.55,77.76,7.58,2.23,50.6,87.92,0,0,1.08,0,0
 24-34,0,0,0,4.51,21.07,1.27,0,31.13,0,0,7.36,3.75,0,0,0,1.48,0,0,4.9,0,41.67,0,0,10.77,235.57,0,3.13,9.03,0,31.35,0,5.27,0,9.21,45.72,0,0,8.59,0,0
 36-46,0,0,0,0,22.98,3.23,0,37.31,0,0,2.65,1.61,0,0,0,0,1.7,0.6,5.6,0,15.27,0.63,0,4.07,118.12,0,8.5,5.69,0,38.41,0,5.29,0,0,24.67,0,0,0.61,0,3.89
 48-58,0,0,0,0,32.3,3.51,0,46.94,0,0,5.97,7.27,0,1.08,0,0,4.71,0.51,9.38,0.87,29.3,3.1,0,0.58,72.94,0,2.2,13.13,0,3.58,0,7.36,0,0,4.3,0,0,3.69,0,2.33
 60-70,0,0,0,0,12.65,0.56,0,65.69,1.04,2.42,2.02,9.17,0,0,3.36,0,0.67,1.16,0,0,39.45,0,0.75,4.24,18.17,0,5.88,0.57,0,10.76,0,3.53,0,0,0,0,0,1.11,0,0
 72-82,0,0,0.49,0,11.42,2.93,0,44.83,0,0,11.56,4.15,0,0,5.3,2.86,0.93,2.41,0,0,22.37,0,2.25,2.98,37.52,0,3.55,5.9,0,2.26,0,0,0,0,1.48,0,0.5,6.42,0,0
 84-94,0,0,0,0,10.05,0,0,28.81,0,0,1,2.4,0,1.12,0,5.29,0,3.43,0,0,18.01,4.34,0,5.25,24.35,0,3.99,6.27,0,7.99,0,1.74,0,0,3.08,1.17,0.58,1.59,0.68,0
 96-106,0,0,0,0,5.06,4.08,0.92,17.97,0,0,1.81,4.46,0,0.68,0.83,0,0,0.71,0,0,7.22,0,0,0,7.51,0,0.59,5.69,0,6.06,0,0.67,0,0,0,0,0,1.95,0.72,0
108-118,0,0,0.41,0,8.78,9.56,8.07,11.27,0,0,6.19,1.63,0,0,2.29,1.02,0.9,0.41,2.23,0,12.29,0,0,5.52,13.21,0,0,8.32,0,6.71,0,2.28,0,0,0,0.5,0,0,1.04,0
120,0,0,1.43,0,16.89,1.53,0,16.24,0,0,2.75,2.82,0,0,0,0,1.87,0,2.32,0,11.72,0,0,5.81,17.71,0,1.77,18.9,0,1.37,0,0,0,0,1.34,0,0,1.78,0,0
