stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.89,494.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.74,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,9.45,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,61.59,2.83,22.69,0,0,0,11.92,0,6.48,0,0,1.66,0,0,0,3.16,10.45,0,6.71,10423.33,3.68,7.39,5.6,6.21,0,19.8,1.44,18.1,1.36,1.72,9.86,4254.6,0,0,9.55,0,0
 24-34,0,0,0.97,0,67.44,0,26.8,0,0.71,5.57,17.01,4.47,4.01,0,0,7.28,0,2.14,16.71,52.19,25.49,0,59.45,9494.25,2.22,14.92,0.66,0,0,12.32,0,0,0,9.66,4.86,4020.37,0,0,65.64,0,15.83
 36-46,0,0,0,0,8.1,0,23.02,0,0,3.35,14.65,0,1.09,1.05,0,0.91,0,1,0,98.41,27.45,0,7.28,5609.34,3.51,3.73,0.64,0,0,19.98,0,0,2.45,2.47,0,1753.58,0,0,36.56,0,16.42
 48-58,0,0,0,0,0.71,0.48,31.78,0,0,1.35,74.09,0,0,1.45,0,0,0,0,0,2.59,15.07,0,2.81,3042.12,0,2.45,1.14,0,0,8.07,0,0,0,0,0,494.15,0,0.85,9.14,0,4.19
 60-70,0,0,0,0,14.32,0,60.85,2.26,0.95,7.14,0,0,0,0,8.52,0,0,0,0,0,7.92,0,0.6,857.25,0,0,0,0,5.15,2.63,0,0,0,0,0,622.46,0,0,13.62,0,11.84
 72-82,0,0,0,0,4.96,0,28.9,0,0,5.14,64.11,0,0,0,0.51,0,0,0,0,0,8.97,9.84,1.77,769.52,0,0,0.55,0,0,0,0,0,0,0,0,57.84,3.44,0,3.23,0,0
 84-94,0,0,0,0,0.62,0,48.99,0,0,0.94,3.93,0,0,0,0,0.62,0,0,0,0,6.54,0,2.26,306.35,0,0,0,0,4.73,0.61,0,0,0,0,0,32.26,0,0.99,10.32,0,0
 96-106,0,0,0,0,0,4.91,72.24,0,0,6.95,6.24,0,0,0,0,0,0,0,0,0,9.25,0,0,655.98,0,1.93,0,0,3.14,0,0,0,0,0,0,7.87,0,0,0.83,0,0
108-118,0,0,0,0,3.58,0,20.77,0,0,1.57,18.94,0,0,0,1.09,0,3.83,0,0,0.52,11.7,3.65,0,426.32,0,0.47,0,0,3.94,1.65,0,0,0,0,0,5.99,1.37,0,7.88,0,1.05
120,0,0,0,0,0,2.03,5.32,0,0,0,22.94,0,0,0,0,0,3.92,0,0,0,23.59,0,0,393.89,0,1.29,0,0,0,0,0,0,0,0,0,297.39,0,0,0,2.31,4.37
