stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,9.59,50.51,0,0,0,0,0,0,0,0,0,0
  5-6,27.88,145.59,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,62.08,7.71,0,0,0,0
 10-12,0,0,12.12,0,0,0,33.48,0,6.64,0,0,0
 24-34,0,0,0,0,0,0,3.51,0,0,0,0,0.87
 36-46,0,0,0,0,0,0,3.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.06,0,0,0,1.2,0
 60-70,0,0,0,0.63,0,0,4.28,0,0,0,0,0
 72-82,0,0,0,0,1.03,1.84,3.35,0,0,0.71,0,0
 84-94,0,0,0,0,0,0.59,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.64,0,0,0,0,0
108-118,0,0,0,0,0,1.77,8.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,13.5
