stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  5-6,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0
 14-21,0,1.12,0,0,0,0.81,0.82,0,0,0.88,0,0.86,5.46,0
 24-34,0,0,1.03,0,1.54,0.6,3.98,0,0,0,0,0,0.7,0
 36-46,0,0,2.29,1.52,0.74,0,5.01,0,0,0,0,0,0,7.57
 48-58,0,0,0.43,0,0,0,1.69,0,3.46,0,0,0,0,0
 60-70,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.44,0,2.76,0,0,0,0.61,0,0,0,0,0
 84-94,0,0,5.06,0,0.98,0,2.9,0,0.61,0,0.97,0,0,0
 96-106,0,0,2.76,0,0,0,2.81,0,0,0,0,0,1.03,0
108-118,0,0,4.43,0,0.54,0,0,0,0,0,0,0,0,0
120,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0
