stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.3,7.09,0,27.69,0,0,0,5.91,0,0,0,0,0,77.39,0,0,0,0,0,0,0,0,0,0,0,778.07,108.79,0,0,81.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,30.13,0,128.49,0,0,0,43.5,0,0,0,0,0,104.38,0,0,0,0,0,0,0,0,0,0,0,2166.86,294.37,0,0,113.25,0,0,0,24.53,0,0,5.32,0,0,0,0,0
 14-21,0,0,5.53,9.6,58.87,15.91,0,10.38,0,0,0,19.85,8,0,0.96,0,0,0.96,0.93,0,0,62.71,0,0,44.89,540.59,148.68,0,2.83,1.91,0,0,12.87,0,3.01,9.91,320.9,0,0,4.09,0,0
 24-34,0,0,0.65,2.04,21.99,0,0,22.36,0,0.71,1.74,43.13,2.34,2.95,3.8,0,0,0,17.71,0,4.7,139.54,0,0.89,65.9,2016.71,19.28,5.36,14.47,0,0,10.53,0,1.45,0,5.1,667.63,0,0,5.78,0,0
 36-46,8.46,0,1.59,0,9.26,0,0,99.9,0,0,9.43,62.11,0,0,0.73,0,0,19.53,23.32,0,0.7,188.14,0.6,0,49.14,3636.13,21.97,6.61,9.1,0,0,3.47,0,0,0,0,913.6,0,2.46,2.68,0,2.2
 48-58,0,0,0,0,18.66,0,0,423.88,8.23,0,16.65,134.55,0,0.57,2.67,0.71,0,3.51,20.17,0.43,7.16,237.04,0,5.25,36.97,4282.97,11.21,3.95,9.67,13.27,0,3.79,0,0.44,0,0,824,0,0,9.54,1.56,7.92
 60-70,0,0,0.82,0,22.43,1.05,0,710.52,0,2.07,14.9,76.11,1.48,0,2.72,0.7,3.34,2.51,24.47,0,1.64,302.86,0.63,4.25,21.05,4276.3,17.4,5.12,17.74,0,0,4.05,0,0.97,0,0,561.56,0,2.1,12.28,1.13,9.54
 72-82,0,0,3.92,0.56,25.13,6.36,0,828.37,0,13.51,9.63,74.86,4.02,0,10,7.72,0,13.03,37.29,4.6,0.85,421.39,1,10.84,21.78,4108.65,10.13,7.27,13.44,0,5.6,3.89,0,0,0,0,368.12,2.09,16.48,4.03,10.36,17.09
 84-94,0,0,0,0,28.11,0.76,2.25,586.7,0.56,0,20.09,108.25,5.35,0,2.9,1.49,2.3,12.13,52.35,0,1.25,387.04,8.6,23,19.07,2517.2,11.45,13.43,20.47,0,0,9.72,0,0,0,0,186.17,1.34,12.36,3.68,12.35,24.73
 96-106,0,0,3.88,0,41.97,4.82,0.9,577.16,0,0,5.66,49.16,8.09,0,2.7,0.66,0.8,4.39,47.9,1.45,0,316.11,0.98,8.7,13.31,2152.69,6.06,11.44,19.24,0,4.78,24.19,0,3.26,0.68,0,97.46,2.26,3.52,0,18.86,23.52
108-118,0,0,7.13,0,34.52,8.44,0,467.48,0.62,0,2.43,43.54,5.38,0,0,0.61,0.91,7.63,47.29,1.6,2.1,330.71,0,6.1,17.51,3085.65,13.14,4.92,16.96,0,4.55,10.09,0,1.88,0,0,89.64,0,7.97,3.63,22.35,15.41
120,0,0,0,0,56.69,3.62,0,489.45,1.04,9.9,5.85,41.09,9.91,0,2.11,0,0,2.67,22.39,0,1.79,259.6,0,11.03,18.35,3343.19,1.87,10.14,16.99,0,0,9.32,0,0,0,0,124.63,4.63,0,0,7.69,0
