stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,7.61,0,0,0,0,7.22,0,0,0
 24-34,0,0,0,0.75,0,4.07,0,0,0,0,0,0,2.39,0,49.26,5.32,0,0,0,42.15,0,0,0
 36-46,0,0,0,0,0,6.44,0,0,0,0,0,3.61,2.02,0,136.85,0,0,0,13.16,68.25,0,0,0
 48-58,0,0,0,0.54,0,32.26,0,0,0,0,0,0,0.9,0,267.9,0,0,0,2.79,78.04,0,0,0
 60-70,0,0,0,4.44,0,104.84,0,0,11.58,0,0,0,5.94,0.58,527.18,0,0,0,1.57,107.68,0,0,1.18
 72-82,0,0,0,0,0,190.57,0,0.71,4.98,0,2.36,0,2.64,0,543.11,0,0,0,0,71.52,0,0,0
 84-94,0,0,0,2.66,6.68,132.48,0,0,5.79,3.93,0,0,3.15,0,281.56,0,0,0.89,1.14,51.78,0,0,0
 96-106,0,0,1.05,0.93,0,170.75,0,0,7.73,0,0,0,3.9,2.86,344.05,0,7.21,0,0,16.17,0,0.69,0
108-118,0,0,0,8.42,0,153.51,0.56,0,6.17,1.09,0,0,5.26,0,433.25,0,0,0,0,22.56,1.2,0,0
120,0,0,0,0,0,159.13,0,0,5.28,0,0,3.57,20.35,0,543.9,2.06,0,0,1.14,22.8,0,10.18,0
