stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
 10-12,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,1.28,0,5.47,0,0,0
 24-34,0,0,0,0,1.25,0,0,0,0,0,3.27,0,0.68,0,0,0,0,0,0,61.47,0,1.27,0,0,0,0,47.92,0,0,0
 36-46,0,0,0,0,2.14,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,142.14,0,5.8,0,0,0,0,91.8,0,0,0
 48-58,0,0,0.37,0,14.53,0,0,1.48,0,0.49,1.23,0,0,0,0,0,2.44,0,0.78,290.12,5.4,2.56,0,1.24,0,0.52,95,0,3.17,0.66
 60-70,0,0,0,0,64.95,0,0,1.34,0,0,0,0,0,0,0,0,1.46,0,0,546.31,0,5.82,0,0,0,0,166.26,0,0,0
 72-82,0,0,1.03,0.52,100.78,0,0,15.07,0,0,0,0,0,0,0,0,4.92,1.53,0.54,909.05,0,10.12,0,0,0,0,162.15,0,7.2,0
 84-94,0,0,15.75,5.27,79.5,0,0,15.66,0,0,0,1.2,0,0,0.9,0,4.34,0,0,567.18,0,15.4,0,0.65,0,0,80.52,0,0,0
 96-106,0,0,2.45,1.18,75.24,0.59,10.74,10.55,1.28,0,1.16,0.95,0,0,1.79,0,6.49,0,0.98,693.8,0,23.3,1.32,3.91,0,0,72.54,0,1.45,0
108-118,0,0.57,5.07,0,101.15,0.71,0,20.57,2.6,0,0,0,0,0.73,1.15,2.95,13.1,0,0.92,695.68,0,23.5,0,0.52,0,0,51.33,1.35,0,0
120,0,0,16.23,0,137.21,0,0,46.79,2.14,0,0,4.22,0,0,0,0,12.23,0,0,1150.09,0,28.9,0,7.86,0,0,129.65,0,0,0
