stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,117.57,1613.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.22,0,0,0,0,0,0,0,0,0,0
  5-6,68.38,1009.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28,0,0,0,8.65,27.24,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,11.25,17.59,0,0,5.6,0,0,0,12.92,0,0,0,0,0,0,0,0,324.49,21.81,0,0,70.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.63,22.11,0,6.13,27.6,0,0,0,0,0,0,0,0,0,0,0,0,530.45,29.17,0,0,75.11,0,12.64,0,84.51,0,0,10.3,0,0,0,0
 14-21,0,0,4.94,11.52,3.05,5.26,0,55.96,0,0,1.15,0,0,0,0,6.9,0,5,184.16,0,0.96,2.04,3.35,0,4.7,4.8,42.94,0,7.57,195.76,0,0,0,0
 24-34,0,0,0.68,4.67,0,20.83,0,70.61,0,0,0,0,0,0.64,0,9.86,0,3.62,242.86,1.36,11.81,3.9,0,0.69,0,0,38.58,0,0.69,175.23,0,6.94,0,0
 36-46,0,0,0,0.61,0.6,22.36,3.52,43.92,0,0,0,0,0,0,21.86,10.05,0,6.16,153.41,0.59,9.18,0.82,0,0,0,0,12.02,0,0,210.72,0,0.56,0,1.65
 48-58,0,0,0,0.43,0,37.02,0,72.25,0,0,0,0,0,1.44,0,12.82,0,2.26,73.38,1.42,4.65,0,0,0.56,0,0,9.45,1.43,0,151.33,0,0,0,0
 60-70,0,0,0,0,0,29.4,0,77.71,0,0,0,0,0,0,0,8.01,0,0,30.71,0,3.74,0,0,0,0,0,11.06,0,0,54.22,0,0,0,0
 72-82,0,0,0,0,0,17.62,0,107.97,0,0,0,0,3.11,1.66,2.79,23.23,2.2,0,21.34,0,14.4,2.52,0,5.35,0,0,3.4,0,0,28.12,0,1.38,0,0
 84-94,0,0,0,0.59,0.68,22.57,0,99.49,1.48,0,0,0.97,0,6.69,0,5.52,0,4.8,21.02,0,14.25,8.12,0,0,0,0,5.33,0,0,14.37,0,0,0,0
 96-106,0,0,0,0,2.94,10.34,0,119.82,0,0,0,0,0,5.03,0,13,0,0,20.15,0.85,7.62,7.77,0,2.65,0,0,1.8,0,0,24.76,0.58,0,0,0
108-118,0,0,0,0.42,0.58,8.8,0,102.83,0,0,0,0,0,6.36,0,6.69,0,0,25.21,0,12.36,13.87,0,0,0,0,4.06,0,0,7.83,0.67,0,0.68,0
120,0,0,0,0,0,3.73,0,78.93,5.27,0,0,3.3,0,2.63,6.32,2.88,0,0,15.81,0,9.59,15.72,0,0,0,0,10.42,0,0,10.41,0,0,0,0
