stage,fin_mesenchyme,glial,lateral_line,mesenchyme,neural,otic
 24-34,0,0,0,0,0,6.98
 36-46,0,0,0,0,0,2.92
 48-58,0,0,0,0,3.01,10.86
 60-70,0,0,0,0,0,12.69
 72-82,0,0,8.04,0,0,12.83
 84-94,0.89,0,0,0,0,19.87
 96-106,0,2.15,2.24,4.68,0,27.49
108-118,0,0,0,0,0,34.24
120,0,0,0,0,13.61,14.72
