stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,93.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.35,63.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.72,0,0,4.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0
 14-21,0,0,0,2.3,1.54,0,0,0,0,0,16.28,0,0,0.87,0,0,1.14,9.22,0
 24-34,0,0,0,0,0.85,0,2.21,0,0,0,26.67,0,0,0,2.72,1,0,1.48,0
 36-46,0,0,0,0,1.01,0,5.96,0,0,0,29.36,0,0,0,0,13.14,0,11.49,0
 48-58,0,0,0,0,4.82,0,9.38,0,0,0,23.01,0,0,0,3.17,0,0,8.31,0
 60-70,0,0,10.91,0,1.96,1.38,1.99,0,5.16,3.2,19.45,2.38,0,0,0,0,0,6.06,0
 72-82,0,0,1.68,0,21.76,0,5.88,0,0,0,43.83,0,0,0,2.32,0,0,7.79,0
 84-94,0,0,0,0,2.84,0,4.9,1.13,0,0,13.82,0,0,0,0,0,0,7.54,0
 96-106,0,0,0,1.59,27.98,0,9.53,1.02,0,0,19.14,0,0.98,0,0,0.69,0,2.95,0
108-118,0,0,1.11,0,3.06,0,1.57,0.61,0,0,31.48,0,0,0,0,0,0,6.24,0.56
120,0,0,0,0,3.97,0,16.07,0,0,0,34.59,0,0,0,0,0,0,0,0
