stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.24,0,0,0,0,0,0,0,0,0
 14-21,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.03,0,0,0,0,1.36,0,0,0,0
 24-34,0,1.21,0,0,0,0,0,0,0,0,0,0.7,0,0,0,152.31,0,0,0.78,0,0,0,0,0,0.78
 36-46,0,7.57,0,4.47,0,0,0,0.88,0,0,1.44,0,0,0,0,466.64,0,0,0,0,2.13,0,0,0,0
 48-58,0,90.31,0,8.73,0,6.41,0.8,0,0,0,11.86,0.99,0.37,0,1.14,184.5,0,1.01,0,0,4.44,0,0,0,2.31
 60-70,1.02,479.63,0,18.2,0,0.78,0,0,0,0,3.48,2.88,1.27,0,0,446.29,0,3.69,0,1.12,6.98,0,0,0,1.24
 72-82,1.82,609.01,0,15.74,0,1.33,0,0,0,0,12.04,7.75,1.75,0,0,390.26,0,11.42,0,0,4.07,0.53,0,0,7.91
 84-94,0,531.43,0.91,17.95,0.64,0,0,0.63,0,0,6.61,2.37,0,0,0,205.83,0,11.34,0,0,6.72,0.9,0,0,13.63
 96-106,3.39,857.71,0,18.41,0.61,0,0.63,0.77,4.74,2.16,0,7.99,1.44,1.14,0,218.42,0,16.17,0,0,7.34,0.61,1.3,0.61,5.64
108-118,6.29,571.01,1.38,18.36,0,0,0.99,0.41,0.51,0,0,8.98,0,0,0,261.16,0,17,0,0,10.11,0.74,0,0.49,10.71
120,5.47,371.74,0,39.47,0,0,0,3.86,0,0,0,14.94,0,0,2.57,383.63,4.24,36.88,0,0,10.36,2.39,0,0,6.16
