stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0
 14-21,0,0,1.16,0,0,0,0,0,0,0,1.06,9.32,0,0,0,0.81,0,0,1.08,0
 24-34,0,0,0,0,0,0,0,0,1.52,0,0.94,1.38,0,0,0,1.02,0,0,0.65,0
 36-46,0.63,0,0,0,1.68,0,0,0,5.22,2.17,1.54,14.33,0,0,0,0.74,0,0,0,0
 48-58,0,1.79,0.87,0,0.68,0,0.52,0,2.63,9.25,0,5.84,0,0,0.46,0,0,0.64,0,0
 60-70,5.42,0,0,0,0,0,0,0,5.56,16.88,0,40.65,0,0,0,0,0,1.67,0,1.96
 72-82,0,0,2.18,0,6.12,0,0,0.69,9.89,13.83,0,11.23,0,0,4.58,0,0,1.97,2.18,2.85
 84-94,0,0,1.36,0,7.66,0,0,0,1.76,18.02,0,11.88,1.71,0,4.91,1.05,0,3.74,0,5.6
 96-106,0,0,0,3.66,5.83,1.72,1.06,0,5.21,6.5,1.47,20.96,0,0,3.56,0,0.61,4.83,0,8.65
108-118,0,0,1.99,0,7.1,3.62,0.52,0,4.34,3.45,0,5.35,0,0,1.19,0,0,5.43,0.57,8.9
120,0,0,14.38,0,0,0,0,0,11.38,2.4,0,11.59,0,0,5.9,0,0,2.09,0,0
