stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.44,47.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.79,22.16,0,55.8,0,0,3.56,0,0,0,0,0,0,0,0,2.87,0,0,0,74.52,0,0,0,0,1.51,18.93,1.85,0.88,30.13,0,0,0,0,0
 24-34,0,0,0,0,6.4,0,0,173.58,0,0,0,0,0,0,3.79,0,0,0,4.23,9.52,1.11,0,0.59,784.77,0.67,0,0,0,5.26,0,0,0,9.2,0,0,0.62,0,0
 36-46,0,0,0,0,8.1,0,0,130.55,0,0,8.64,0,0,0,0,0,0,0,0,7,0,0,2.27,1911.42,6.49,0,0,0,1.24,0,0,0,1.71,0,0,0,0,0
 48-58,0,0,0,0,4.76,1.75,0,14.95,0,0,29.84,0,0,0,0,0,0,0,0,31.37,0,0,0,916.2,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0
 60-70,0,0,84.62,0,1.46,7.12,0,33.81,0.63,0,120.43,0,0,1.55,0,0,0,0,0,151.77,0,0,0,2486.61,0,0,0,0,7.83,0,0,0,23.38,0,0,0,0,0
 72-82,0,0,1353.7,0,0.85,2.83,0,84.65,0,9.6,237.2,4.48,0,5.8,0,0,0,3.29,0,369.13,0.71,0,0,2660.09,0,0,0,0,3.78,0,0,0,34.32,4.27,1.46,0,0,0
 84-94,0,0,1814.36,1.01,9.36,11.67,0,345.74,0,0,159.52,109.39,1.01,0,0,0,0,0,0,776,0,0,1.65,4615.66,1.27,0,23.16,0,0,0,0.56,0,0,233.48,0,0,1.25,0
 96-106,0,0,2814.19,0,8.75,28.97,0.81,578.43,0,1.73,127.88,654.64,0,2.4,3.49,0,1.25,82.42,0,1142.47,0,0,3.08,2143.55,0,0,8.05,0,10.2,0,0.58,0,20.95,290.5,8.63,12.12,2.72,139.56
108-118,0,0,3313.81,20.63,31.03,9.79,0,695.05,6.4,0.89,375.24,323.14,0,3.94,0.58,5.25,0,8.52,3.65,1676.34,0,4.69,2,3419.2,1.88,2.75,29.14,0,10.14,0,31.03,0,25.73,294.66,0,2.89,0,0.89
120,0,0,3036.95,0,51.85,43.71,0,348.18,0,41.37,354.25,30.23,0,8.29,0,0,0,5.66,0,1203.91,0,0,0,8542.67,0,8.55,75.84,0,5.98,0,0,0,15.23,63.39,0,2.01,0,0
