stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.18,437.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0
  5-6,27.49,393.58,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0
  7-9,5.4,5.46,0,0,0,0,0,0,0,0,0,0,0,25.37,0,0,0,17.77,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.18,0,0,0,0.91,0,10.66,0,0,0,0,0,0,3.25,1.99,0
 24-34,0,0,0,0.67,0,0.81,0,0,0,0,0,2.72,0,10.15,0,0,0,0,0,0,0,5.68,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.86,0,25.35,0,0,0,0,0,0,0,2.25,0
 48-58,0,0,0,0,0,4.67,0,0,0,0,0,0.55,0,32.87,0,0,0,0,0,0,0,5.57,0
 60-70,0,0,0,0,0,8.3,0,0,0,0,1.24,2.05,0,33.66,0,1.17,0,0,1.52,0.68,0,0,0
 72-82,0,0,0,0,5.31,2.95,3.32,0,0,0,0,0,0,19.66,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.91,1.35,0,0,0,0,0.61,0.99,11.17,0,0,1.19,0,0,0,0,0.98,0
 96-106,0,0,0,0,0,0,1.4,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0.56
108-118,0,0,0,0,0,0,0,0,0.85,3.03,0,2.71,0,10.22,0.81,0,0,0,0,0,0,4.38,0.45
120,0,0,4.34,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
