stage,epidermis,erythrocytes,eye,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,10.23,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0
 14-21,0.86,1.38,0,0,0,0,0,0,0,11.77,0,0,0.99,0,0,0,0,0
 24-34,0,0.62,1.94,0,0,0,0,0,0,23.46,0,0,0,0.8,5.05,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.19,49.85,0,0,0,0,10.81,0,0,0
 48-58,0,0,5.01,4.95,0,0.42,0,1.09,0,75.7,0,0.49,0,0,14.27,0,0,0
 60-70,0,0,6.11,12.29,0.7,0,0,0,1.14,62.74,0,0,0,0,8.92,0,0,0
 72-82,1.07,0,8.69,13.04,1.06,0,0,0,0.84,68.4,1.37,0,0,0,7.97,0,1.3,0
 84-94,0,0,7.3,12.07,0,0.72,1.1,0,0,23.31,0,0,0,0,2.77,0,0.74,0
 96-106,1.23,0,23.91,8.87,0,0,0,0,0,48.63,0,0,0,0,0,2.08,0,1.13
108-118,1.37,0,12.75,22.4,0,0.9,0,0,0,47.01,0,0,0,0,0,0,1.08,0
120,0,0,4.64,28.89,0,0,0,0,0,88.79,0,0,0,0,0,0,1.61,0
