stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,309.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,386.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.96,7.5,0,0,25.82,0,0,0,7.89,0,0,0,0,0,151.49,0,0,0,45.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.44,3.63,0,0,0,0,0,0,0,0,0,99.36,0,0,0,37.7,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.69,0,1.73,0,0,0,0,0,0,0,0,0,11.01,0,0.85,0,0,0,1.03,0,0,2.32,4.4,0,0
 24-34,0,0,0,1.51,0,1.31,0,1.12,0,0,0.6,0,3.07,0,0.72,54.7,0,0,2.33,0,1.81,0,0,12.91,0.76,12.68,0,0
 36-46,0,0,0,0,0,4.44,0,5.46,0,0,0,0,0,0,0,24.03,0,0,0,0,2.56,0,0,0,0,5.94,0,0
 48-58,0,0,0,0,0,12.71,0,4.51,2.05,0,0,1.1,1.81,0,0,20.77,0,0,0,0,1.19,0,0,5.01,0,6.44,0,0
 60-70,0,0,0,3.09,0,18.59,0,21.88,0.64,0,3.47,0,9,2,2.02,12.9,0.96,0,0.62,0,0,0,0,0,0,4.62,0,0
 72-82,0,0,0,0.66,3.1,11.76,1.95,4.63,0,0,0,0,3.26,0,0.99,16.44,0,0,0,0,0,0,1.77,0,0,9.4,1.44,0
 84-94,0,0,0,0,0,12.19,0,1.19,0,0,0.61,0,3.2,0,0,6.83,0,0,0,0,0,0,0,0,0,0.98,0,0
 96-106,0,0,0,0.6,0,0.59,0,3.69,0,0,1.65,0,0,0,0,19.74,0,1.76,0,0,0.6,0,0,0,0,1.95,0,0
108-118,0,0,0,0.79,0,5.99,0,18.47,0.8,0,0,0,5.92,2.89,0.45,5.36,0,0.83,0.43,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,33.73,0,0,0,0,2.88,0,0,0,3.01,21.84,0,0,0,0,3.32,0,0,0,0,6.75,14.43,2.31
