stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0
 14-21,2.68,0,0,0,0,0,0,0,0,0,0,0,0.98,6.69,0,0,0,3.42,0,0
 24-34,1.73,0,0,2.52,0,0.87,0,0,0.94,0,0,0.73,0,20.73,0,0,6.07,0,0,2.6
 36-46,0.58,0,2.08,0,0,1.25,0,0,0,0,0,0.72,1.13,9.06,0,0.58,4.21,0,0,0
 48-58,0,0,3.52,0,0,0.54,0,0,0,0,0,0.75,0,14.53,0,0,0.57,0,0,0.83
 60-70,1.05,0,2.41,0,0,1.83,0,0,0,0,0,1.4,0,2.77,0,0,0,0.88,0,0
 72-82,0,6.16,12.39,0,0,0.61,0,0,0,0,0,4.13,6.49,14.46,0,0,0.71,1.7,0,0
 84-94,0.79,0.93,2.55,0,0,0,0,0,0,0,0,3.34,1.13,2.66,0,0,5.18,6.47,1.08,0
 96-106,0.65,0,10.63,0.71,3.48,0,0.69,0.8,0,0,0,0,0,14.57,0,0,0.98,0,0,0
108-118,0,0,1.7,0,0,6.71,0,0,0,0,0.43,3.03,0,9.11,0.81,0,1.68,0,0,0
120,8.05,0,0,4.2,0,0,0,1.87,0,10.67,0,0,0,12.11,4.31,0,0,0,0,0
