stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.14,0,1.05,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,20.73,0,0,0,0,0,3.32,1.74,0.82,9.42,0,0,0,0,0
 24-34,0.81,0,1.61,0,0,0.66,0,0,0,1.11,0,0,0,0,0,0,0.63,0,0,2.42,175.35,0,8.4,0,0,0,0.62,2.25,0.63,48.99,0,0,4.35,0,0
 36-46,0,0,0,0,0,2.53,0,0,0,5.7,0,0,0,0,0,0,9.46,0,0,0.59,431.12,0,0,0,0,0,0.57,1.99,0,52.35,0,0,7.17,0,0
 48-58,0,0,0.45,0,0,21,0,0,0,12.33,0,0,0,0,0,4.24,5.14,0,0,7.62,724.1,2.88,0,0,3.66,0.59,0.9,0,0,82.44,0,0,2.74,0,0
 60-70,0,0,1.27,0,0,249.59,0,0,0,71.8,0,0,1.38,0,0.68,0,10.87,2.04,0,1.53,1165.79,0,0,0,0,0,5.52,0,0,66.26,0.81,0,0,0,8.59
 72-82,1.44,0,9.46,5.62,0,553.64,0,0,1.64,118.9,0,0,9.36,5.22,0,4.38,21.02,0,7.6,2.69,1594.25,0,2.87,3.59,0,0,6.74,0,0,62.16,0.8,0,0.72,0,0
 84-94,0,0,1.35,0,0,340.21,0,1.44,0,73.33,1.46,0.97,1.7,0,0,5.22,28.95,0,1.41,0,1095.76,0,0,0.6,0,0,5.27,0,0,37.53,9.23,1.79,1.53,1.66,4.27
 96-106,0.63,0,6.61,17.5,9.83,437.31,0,2.17,0,103.92,4.36,0,1.58,0,7.29,0,17.41,0,0,0,907.66,0,2.01,2.36,0,0,3.52,0,0,30.18,0,0,2.1,2.5,0
108-118,0,0,7.17,0,0,298.5,0,0,0.81,83.88,0.44,0,0.59,0,0.99,0,25.13,0,1.04,2.29,986.27,0,0,0.78,0,0,1.26,0,0,35.17,3.87,0,0,0,0
120,11.35,0,7.49,2.25,0,309.15,2.29,0,0,106.16,0,0,8.02,0,18.38,0,37.87,0,0,0,1536.95,0,5.86,0,0,3.42,1.24,0,0,37.66,1.63,0,0,0,0
