stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0
 14-21,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,33.24,0,3.47,0,0,0,0.84,2.13,0,12.66,0,0,0,0,0
 24-34,0,0,0,0,5.63,0,1,0,0,0,0,1.34,0,0,0.82,0,470.04,0,13.38,0,0,0,1.33,0,0,101.09,0,0,0.65,0,0
 36-46,0,0,1.05,2.92,47.73,0,0.75,0,0,0,0,0,2.72,0.55,0,2.39,1118.35,0,14.19,5.23,0,0,0,0,0,193.03,0,0,7.24,0,3.32
 48-58,0,0,21.85,2.61,368.25,0,19.82,3.41,0,0,0,0,1.97,13.52,2.99,6.48,2000.38,0,17.94,9.75,0,0,0,0,0,252.31,0,0,4.79,0,0.63
 60-70,0,0,16.31,0,931.37,0,47.67,0,0,4.97,5.65,0,0,24.11,0,0.68,2496.04,0,27.65,6.8,0,0,3.79,0,0.58,333.59,0,0,2.98,0,0
 72-82,0,0,13.17,4.15,855.49,0,79.75,1.34,0,0,0,0,0,23.08,1.01,0,2038.82,0,34.44,1.4,0,0,2.38,0,0,198.83,1.21,0.63,0.6,0,11.33
 84-94,0,0,4.16,0.92,488.13,0.91,53.42,0,0,0,1.29,0,0,18.9,2.68,3.26,1230.15,0.65,24.64,8.17,0,0,2.54,0,0,193.2,1.17,0,0.97,0,0
 96-106,0,0.9,9.11,1.85,602.14,0.96,29.69,0,2.33,0.96,0,0.7,0,36.73,4.78,0,1096.72,0,59.84,0.81,0,0.97,1.13,0,0,37.42,0,2.63,3.38,0.69,0
108-118,0,0,12.2,1.22,580.81,0,26.38,0.88,4.13,0,0,0,0,36.03,7.44,2.18,1051.29,0,36.18,5.6,0,0,3.2,0,0,56.88,0,2.14,0,2.55,2.08
120,0,0,15.67,0,466.21,2.35,91.45,0,0,0,0,0,0,3.29,17.34,0,2020.12,0,42.35,5.1,0,0,1.07,0,0,55.78,0,0,0,0,0
