stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.89,191.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.23,243.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.06,0,3.91,0,0,0,25.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.14,0,0,0,22.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.03,0,0,0,29.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.83,1.08,0,2.24,0,0,0,1.22,0,0,0,0.81,0,0,0,0,6.73,0,0,1.71,100.64,0,1.37,0,0,0,0,0,0,41.2,0,0,0,0,0
 24-34,0,0,0,0,1.28,1.61,0,7.58,0,0,0,2.99,0,0,0,0,0,0,0,0,56.86,0,0,5.58,866.13,0,5.12,0,0,2.16,0,0,0,133.7,0,0,0,0,0
 36-46,0,0,0,0,1.23,0,0,46.5,0,0,1.14,0.77,0,0,0,0,0,0,0,0,48.31,0,2.92,4.32,2812.8,0.74,10.18,0,0,4.53,0,0,0,352.94,0,0,0,0,2.21
 48-58,0,0,0,0,26.75,0,0,507.62,0,11.83,0.99,40.37,0,0.92,0,0,13.44,0,9.88,0.53,68.21,5.44,7.07,2.36,4439.94,6.45,2.11,1.79,0,8.11,0,0.46,0,426.85,0,0,6.33,0.9,1.84
 60-70,0,0,0,0,15.4,8.5,0,2224.68,0,0.94,0,19.68,4.11,0,1.59,0,0.6,0,0,3.59,34.82,0,0.81,0,5791.69,0,1.22,6.8,0,7.86,0,7.79,0,413.03,0,0,9.35,0,5.57
 72-82,0,0,1.18,0,26.01,3.47,0,2896.59,0.58,0,5.41,66.03,4.28,0,0.49,0.73,2.34,0.57,0,0,41.37,0,2.88,5.39,4623.63,0.73,11.26,2.12,0,2.36,0,2.57,0,208.76,4.75,0,6.19,2.58,1.14
 84-94,0,0,0,0,16.07,0.64,0,2029.78,2.24,0,3.27,63.39,0.98,1.27,2.2,0,2.01,0,0,0,71.31,0,0.66,2.45,3183.84,0,7.55,2.52,0,5.18,0,0,0.95,149.54,0,1.47,6.71,2.97,8.24
 96-106,0,0,0,0,12.47,4.27,0,2112.01,0.86,0,0,62.51,0.85,3.76,18.7,0.71,0,0,6.1,3.42,58.08,0,8.45,4.51,2369.2,0,2.9,1.96,0,2.46,3.39,0,0,65.82,4.54,1.77,5.54,3.15,1.24
108-118,0,0,0,0,28.42,10.23,1.62,1435.18,3.73,0,2.6,49.09,0,0.99,4.77,0,3.03,1.23,1.96,0,57.64,0,6.86,4.87,2468.77,0.69,2.63,0.78,0,8.1,0,0,0,61.36,7.01,1.66,2.13,2.37,0.49
120,0,0,0,0,25.82,4.23,0,1212.54,0,2.35,7.42,228.22,2,0,0,1.65,0,0,0,0,64.53,0,2.13,24.13,4058.66,5.7,3.29,0,0,0,0,2.43,0,82.96,0,1.54,26.97,15.8,0
