stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,365.14,6518.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.91,0,0,0,0,0,0,0,0,0
  5-6,428.26,4957.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.59,28.38,0,0,0,0,94.6,0,0,0,0,0,0,0,0,0
  7-9,44.98,43.57,0,30.27,0,0,28.58,0,0,0,0,19.71,0,0,0,0,0,0,0,0,0,0,529.96,23.18,0,0,180.36,0,8.28,26.33,0,0,0,0,0,0,0,0
 10-12,0,26.47,0,0,0,0,37.58,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,128.1,10.2,0,0,29.4,0,0,0,0,14.3,0,0,0,0,0,0
 14-21,0,0,0,0,4.59,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,6.88,45.19,0,0,0,0,0,1.89,1.12,3.51,0.85,6.18,15.33,0,0,0,0
 24-34,0,0,0,0,2.27,0.66,10.71,0,0,1.86,0,0,0,0,0,0,0,0,0,5.53,0,2.52,184.12,0,7.44,2.85,0,0,3.17,0,0,0,0,32.13,0,0,4.95,0
 36-46,0,0,0,0,0,0,51.51,0,0,6.39,0,0,0.88,0,0,0,0,0,0,15.25,1.73,0.56,282.56,0,2.89,0,0,0,0,0,0,0,0,37.34,0,0,3.5,0
 48-58,0,0,0,0,0.83,0,63.74,0.58,0,11.03,0,0,0,0,0,0.91,0,0,0.95,16.24,0,2.58,256.96,0,0.9,0,0,0,0,0,0,0,0,41.21,0,0,1.84,0
 60-70,0,0,0,0,0,0,141.19,0,0,16.59,0,0,1.63,0,7.11,0,0,0.95,0,18.96,2.06,0,206.38,0,1.09,0,0,0,0,0,0,0,0,16.38,0,1,0,3.46
 72-82,0,0,0.61,0,0.56,0.57,217.44,0,0,4.01,0,0,1.15,0,0,0,1.42,0,0,14.42,0,0.66,194.1,0.53,4.35,1.1,0,1.06,0,0,0,0,0,24.81,0.87,0.75,0.83,0
 84-94,0,0,0,0,3.13,2.86,81.88,0,1.77,15.48,1.92,0,2.24,0,0,0,0,0,0,14.28,0,2.34,100.75,0,0,0,0,0,0.56,0,0,0.74,0,20.9,0.61,0,0,10.25
 96-106,0,0,0,0,0.65,0,41.13,0,0,10.19,0,0,0,2.65,0,0,1.97,0,0,9.25,0,0,92.45,0,0,0,0,0,3.19,0,0,0,0,3.43,0,0,0,0
108-118,0,0,1.27,0,2.42,1.32,109.73,0,0.71,8.91,0,0,0,1.13,0,0,1.1,0,0,19.7,0,0,145.02,0,0,0,0,0,0,0,0,0,0,8.94,0,0,6.67,0
120,0,0,0,0,0,0,88.49,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,185.9,5.39,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0
