stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.43,0,0,0,0,0,0,0,6.78,0,0,10.4,0,0,0,0,0
 14-21,0,0.99,0,0,9.99,0,0,0,3.98,0,0,0,0,0,15.06,0,0
 24-34,0,1.62,0,0,3.17,0.7,0.67,0,2.1,1.36,0,0,0.85,0,7.67,0,2.71
 36-46,0,0,0,0,4.73,0,1.5,0,5.9,2.11,0,0,0,1.37,12.68,0,0
 48-58,0,0,1.25,0,6.62,0,1.57,0,0.68,2.87,0.57,0,0,0,9.13,0,0
 60-70,0,0,0,0,9.5,0,0,0,7.29,3.18,0,0,0,0,13.54,0,0
 72-82,0,0,0.49,8.38,11.72,0,0.49,0,0.52,2.03,0,0,0,0,8.61,0,0
 84-94,0,0,0,0,17.95,0,1.47,0,0.88,0.69,0,0,0,0.58,10.67,0.68,0
 96-106,0,0,0,7.94,16.85,0,4.92,2.03,2.31,2.48,0.65,0,0,0.7,11.02,0,0
108-118,0,0,0.78,1.05,32.99,0,4.41,0,1.18,5.12,0.67,0,0,0,15.02,0,0
120,0,1.15,0,0,13.81,0,0,0,7.51,0,0,0,0,0,1.34,0,0
