stage,blastomeres,epidermis,eye,mesenchyme,neural,olfactory,otic,presomitic_mesoderm,spinal_cord,vasculature
  3-4,34.19,0,0,0,0,0,0,0,0,0
  5-6,9.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,27.14,0,0,0,0,0
 10-12,0,0,13.77,0,9.11,0,0,0,0,0
 14-21,0,0,0,0,5.85,0,0,1.4,1.41,0
 24-34,0,0,0,0,1.08,0,0,0,0.67,0
 36-46,0,0,0,0,5.22,0,0,0,0,0
 48-58,0,0,1.81,0.9,5.05,0,0,0,1.16,0.71
 60-70,0,0,0.65,0,6.35,0,0,0,0,0
 72-82,0,0.54,3.52,0.5,6.36,0.71,0,0,0,0
 84-94,0,0,0,0,2.09,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.6,0,0,0
108-118,0,0,0,0,5.94,1.56,0,0,0,0
