stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,0,24.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,16.73,0,5.39,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,45.82,0,7.48,0,0,0,0,0
 14-21,0.89,0,3.28,19.38,0,0,0,0,1.06,0,0,6.87,5.46,9.1,0,0,0,1.78,2.87,7.13,0
 24-34,0,0,0,20.95,0,0.7,1.33,2.76,0,27.59,0,5.98,8.15,9.09,1.54,0,0.83,0,0,1.79,2.19
 36-46,0,0,0,2.78,0,0,0,0,0,86.53,0,1.57,0,32.55,0,0,0,0,0,1.67,0
 48-58,0,0,0,0,0,4,0,0,0,56.33,0,0.57,0,9.25,0,0,0,0,0,1.14,0.97
 60-70,0,0,0,0,0,2.77,0,0,0,90.27,0,0,0,4.87,0,0,0,0,0,2.34,0
 72-82,0,0,0,0,0,0.92,0,4.04,0,78.67,0,3.72,0,4.57,1.16,0,0,0,0,0,0
 84-94,0,0,0,0,10.39,0,0,0,0,118.83,1.15,1.26,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.66,0,0,0,0,0,105.12,0,1.65,0,9.63,1.54,0,0,0,0,0,5.77
108-118,0,0,0,0,0,0,0,0,0,102.98,0,2.94,0,1.81,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,284.24,0,0,0,1.83,0,0,0,0,0,0,0
