stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,66.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,255.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0
  7-9,25.46,16.92,0,3.79,0,0,0,37.75,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,222.36,40.98,0,0,111.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.41,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,119.34,14.66,0,0,19.58,0,0,5.85,0,0,0,0,0,0,0,0
 14-21,0,0,2.47,1.81,3.39,0,0,0.88,0,0,0,0,1.08,0,0,0,0.96,0,0,0,0,0,0,0,0,19.55,0.87,1.74,0,0,0,0,5.2,0.89,1.74,4.58,0,0,0,0,0
 24-34,0,0,3.25,1.42,5.74,0.62,0,15.14,0,2.02,0.63,5.56,1.39,0,0,0,5.62,0,1.72,5.46,1.3,9.82,0.71,0,2.25,154.64,0.59,9.04,6.65,0,0,2.99,0,3.04,5.8,26.67,0,0,4.14,0,6.33
 36-46,0,0,0.61,0,28.21,0,0,19.14,4.05,12.37,0.57,19.46,1.34,0,0,0,0.77,0,3,1.42,2.56,28.16,0,1.26,2.69,177.19,0,15.42,16.22,0,0,21.85,1.11,2.77,0,64.25,0,0,2.39,0,7.21
 48-58,0,0,0.94,0,29.14,0,0,25.43,0,1.61,1,43.47,12.19,0.44,1.83,4.66,1.12,0.4,2.73,5.42,6.17,59.25,0.46,4.1,14.38,194.61,0,19.24,9.85,0,0.4,8.81,0,4.9,0,62.87,0,0.91,12.36,0,16.88
 60-70,0,0,2.11,0,19.97,0,0,74.53,0,2.86,2.31,96.69,27.12,0,0.87,1.45,6.28,1.14,3.65,3.73,1.24,79.97,1.14,5.12,6.71,238.54,1.36,12.68,13.72,0,0,11.62,0,5.42,0,52.64,0.77,7.94,9.24,0,16.54
 72-82,0,0,23.1,1.31,12.15,12.61,1.4,334.03,0,0,26.3,147.5,116.72,1.1,0,8.17,3.06,1.78,13.96,29.73,0,135.12,0.92,6.09,7.67,437.98,0,35.1,19.19,0,0,5.99,0,9.15,0,30.61,9.2,7.45,9.22,5.23,27.84
 84-94,0,0,23.85,1.76,31.15,5.94,2.19,383.34,0.76,2.51,4.93,139.14,268.59,0.6,0,16.53,3.31,1.48,5.51,92.78,0.71,126.95,4.29,14.92,8.99,293.36,1.43,27.38,29,0,1.13,16.26,0,17.33,0,35.6,2.14,6.23,25.15,2.53,12.48
 96-106,0,0,51.02,0,41.32,4.35,0,509.57,0,2.44,20.18,222.76,467.41,1.32,6.16,20.88,4.92,3.69,12.54,175.77,0.57,168.9,1.49,8.8,9.58,485.74,0.66,35.43,59.57,0,8.63,22.14,0.64,15.36,0,20.31,4.67,4.39,15.86,2.9,33.66
108-118,0,0,34.75,3.89,48.51,18.42,3.96,421.97,0.58,2.72,22.73,255.49,563.91,0,0,21.05,7.46,4.57,8.11,305.76,2.11,187.61,2.99,19.43,12.67,595.08,1.81,40.96,49.04,0,5.07,20.04,0,22.92,0,20.74,6.57,0,12.2,3.64,34.13
120,0,0,11.35,0,68.05,13.61,1.06,417.97,0,0,19.67,224.17,193.33,0,2.11,24.28,10.88,16.23,3.09,194.49,0,187.66,1.72,22.7,7.74,690.65,6.92,41.92,48.18,0,11.76,21.24,2.3,23.72,0,10.78,0,6.25,28.74,3.95,3.58
