stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,3.1,0,0,0,0,0,0
 14-21,0,0,0,0,1.42,17.15,0,0,2.46,0,4.16,2.11,0,0,0,2.57,6.23,52.05,0,0,0
 24-34,0,1.98,0,0,1.48,37.26,0,4.54,4.13,0.65,9.89,24.45,0,0,1.56,0,1.61,55.23,0,0,0
 36-46,0,11.63,0,0,0,7.42,0,75.74,1.98,9.59,12.83,3.33,1.22,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0,0,139.62,6.67,2.37,1.18,15.95,0,0.41,0,0,0,4.03,0,0,0
 60-70,0,0,0,0,2.71,0,0,170.37,1.1,0,7.23,6.79,0,4.18,1.04,0,0,1.64,0,0,0
 72-82,0,0,0,0,3.83,3.5,0,295.87,9.97,0,10.57,2.37,0,11.57,0.6,0,0,1.13,2.31,0,0
 84-94,0,0,0.79,0,2.08,0.66,0,307.9,2.88,0,0,2.89,0,9.5,2.34,0,0,0,0,0,4.35
 96-106,0,0.57,0,1.52,5.34,5.41,3.43,420.69,6.81,1.08,9.5,3.25,0,8.69,0.71,0,0,3.42,0,10.49,0
108-118,0,0,0,0,3.91,3.11,0,322.18,3.64,0,7.2,0,0,9.65,0,0,0,0,0,0,0
120,0,0,0,0,7.44,0,0,759.03,6.46,0,0,4.18,0,0,0,3.61,0,1.75,0,0,0
