stage,hatching_gland,neural,periderm,somites
  5-6,0,0,10.51,0
  7-9,0,7.2,0,0
 10-12,8.56,0,6.13,0
 14-21,0,0,0,4.02
 24-34,0,0,0,1.36
 72-82,0,1.83,0,0
120,0,8.83,0,0
