stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.45,348.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0
  5-6,27.2,530.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9,5.69,19.94,0,0,0,30.11,0,0,0,0,0,21.83,0,0,0,0,0,0,0,0,0,0,290.26,15.44,0,0,123.17,0,13.77,0,0,0,0,0,0,0,0,0
 10-12,0,12.1,8.89,0,0,0,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.17,9.79,0,0,195.22,4.52,13.77,4.76,27.87,0,0,3.51,0,0,0,0
 14-21,0,0,0,5.56,1.92,0,5.06,0,0,0,1.95,0,0,0,0,0,0,0,0,2.94,0,0,2.21,44.67,0,0,0,2.53,0,0,0.96,0,0,3.52,4.53,0,0,0,0
 24-34,4.02,0.83,0.6,2.12,0,0,11.1,0,0,0.61,0.62,0,0.74,0,0,0,0,0.63,0,12.13,0,0,1.64,139.3,0,0,1.16,0,1.28,0,0,0,0,1.27,24.08,0,0,10.07,0
 36-46,0,0,0,0,0,0,23.35,0,4.25,0,3.05,0,0,0,0,0,0,0,0.57,9.15,0,0,4.58,85.2,1.14,0,0.57,0,2.1,0,0,0,0,0,22.1,0,0,0,0
 48-58,0,0,0,1.69,0,0,39.05,0,0,0,17.1,0,0,0.78,7.37,0.52,1.14,0,2.84,21.3,0,0.52,2.3,99.66,0,0,2.92,0,0.4,0,0,0,0,0,9.06,0,0,0.38,0
 60-70,0,0,0,1.75,0,0,25.3,0,0,0,15.52,2.86,0,0,1.38,0,0,0,0,18.03,0,0,0.69,61.14,0,0,1.97,0,1.27,0,0,0.62,0,0,1.14,0,0,0,0
 72-82,0,0,0,4.31,3.07,0,32.49,0,0,1,7.88,0,0,0,0,0,0,0,0.96,16.11,0,0.65,8.89,40.55,0,0.67,0,0,2.17,0,0,0,0,0,6.74,0,1.01,0.83,1.89
 84-94,0,0,0,3.74,0,0,8.88,1,0,0,6.61,0,0,0,0.65,0,0,0.61,0.56,13.13,0,3.61,0.76,31.3,0.62,0,1.25,0,3.44,0,0,0,0,0,3.38,0,0,0.74,0
 96-106,0,0,0,1.76,1.24,0,5.3,0,0,0,3.03,1.78,0,0,2.46,0,0.75,0,0,27.27,1.8,0,2.84,26.62,1.18,0,0.67,0,3.19,0,0,0,0,0,0,0,0,2.67,0
108-118,0,0,0,4.7,0,0,8.9,0,0.61,0,2.13,4.29,0,0,1.36,0,0,0,0.43,14.15,1.25,0,0,12.84,0,0,0.56,0,3.16,0,0,0,0.44,0,0,1.37,0,0,0
120,0,0,0,8.18,0,1.14,15.6,5.12,0,0,0,4.68,0,0,0,1.67,0,3.53,0,14,0,15.43,4.74,59.72,0,0,0,0,3.76,0,0,0,0,0,0,0,0,5.77,0
