stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,ionocyte,lateral_line,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,taste
  3-4,10.58,116.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,156.93,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,8.58,0,0,0
  7-9,0,0,0,4.08,0,0,0,13.34,0,0,0,0,61.23,0,0,3.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 24-34,0,0,0.72,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0.43,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0.68,0,0,0
 72-82,0,0,0,0.65,1.74,0,0,0,0,0.88,0,1.29,0,1.28,0,0,0,0,0,0
 84-94,0,0,0.83,0,0,0.64,0,0,0.56,0,0,0,5.86,0,0,0,0,0,0.67,0
 96-106,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0.78,0,10.24,0,0,0
108-118,0,0,0,0,0,0,0,0,0.95,0,0,0,0,1.89,0,0,0.98,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1.99
