stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.06,0,0,0,0,0,0,0,0,0,0,0,47.03,0,0,34.86,0,0,0,26.26,0,0,0,0
 14-21,0,4.25,95.03,3.2,2.36,0,1,0,0.84,3.35,0,16.52,16.46,48.54,0,0,0,0,31.3,21.55,8.54,13.76,44.48,24.94,1.63
 24-34,0,10.22,126.65,2.19,1.58,2.39,3.27,1.68,17.9,1.58,2.7,93.36,95.73,29.7,1.11,0.69,0,0,34.13,1.1,0,117.52,53.15,94.39,0.62
 36-46,0,0,13.67,0,0.6,2.75,0,0.98,6.56,0,0.83,53.28,24.2,9.92,0,0,0,1.55,16.53,0,0,38.64,0.56,20.25,0
 48-58,0,0,2.45,0,1.02,0,0,0.9,0,0.59,0,5.9,3.55,1.37,0,0,0,0,1.18,0,0,16.34,0,4.14,0
 60-70,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,3.45,0,3.39,0
 72-82,0,0,0,0,0,0,0,0,0,0.57,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0.83,0
 84-94,0,0,5.14,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,3.63,0,1.25,0
 96-106,0,0,0.99,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0.57,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.64,0,5.21,0,0,0,0,0,0,0,0,0,0.87,0,1.26,0
120,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0
