stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,94.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,96.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.26,0,17.09,0,0,0,0,0
 10-12,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0.9,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,1.33,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,8.78,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,26.57,0,0.56,0,0,0,0,0,0,0,0,3.6,0,0,0,0,3.91,0,0
 84-94,0,0,0,0,67.87,1.05,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0
 96-106,0,0,1.41,0,372.44,16.7,0,0,0.68,0,3.21,1.09,2.73,1.41,0,35.46,2.43,0,3.15,0,0,0,0
108-118,0,0,4.99,4.42,1060.69,16.91,2.78,0.47,0,0.45,6.93,3.82,3.2,0,0,75.29,0.43,0,4.59,0,3.89,2.22,5.62
120,0,0,6.14,0,551.14,9.85,0,0,0,0,0,0,21.2,0,13.42,123.39,0,0,4.61,0,0,0,0
