stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0
 14-21,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.09,0.81,0.91,0,0,0
 24-34,0,0,0,0,1.43,0,0,0,3.25,0.84,0,0,0,0,0,0,13.3,0,1.09,2.87,4.85,0,3.16,0,0,0
 36-46,0,0,12.1,0,7.29,1.73,0,0,7.93,0,0,0,0,0,0,0,19.67,1.29,1.26,0,0,0,4.58,0,4.82,0
 48-58,0,0,3.53,0,49.24,0,0,0,7.54,0,0,0,0,0,0.39,0,50.46,0,0,5.79,4.33,0,17.27,0,0,0
 60-70,0,0,0,0,67.02,0,1.96,0.98,10.49,0,1.91,0.64,0,0,6.87,2.88,73.33,0,1.23,0,0,0,6.88,0,0,0
 72-82,0,0,2.73,0,60.26,0,0,0,21.37,1.02,0,0,1,0,8.07,0,74.98,0,0,0,0,0,5.24,0,0,0
 84-94,0,0,2.1,1.07,54.29,0,0,0,20.24,0,0,0,0,0,1.33,0.68,53.07,0,0,0,2.05,0,4.84,0,0,3.56
 96-106,0,0,8.44,5.28,44.78,0,0,0,31.36,0.7,0,0,0,9.08,0.86,0,37.09,0,0,0,8.27,0,6.59,0,0,0
108-118,0,0,0.73,0,51.56,0,0,0,17.93,0,0.92,0.55,0,0.95,1.68,0.77,40.77,0,1.68,0,0,0,5.15,1.66,0,0
120,0,0,0,0,46.32,0,0,0,5.4,0,0,0,0,0,0,0,80.87,0,0,0,0,0,11.7,0,0,0
