stage,blastomeres,eye,immune,mesenchyme,muscle,neural
  3-4,12.69,0,0,0,0,0
 14-21,0,0,0,1.01,0,0
 24-34,0,0,0,0,0,0.75
 36-46,0,0,2.82,0,0,0.91
 48-58,0,0,2.61,0,1.22,0.46
 60-70,0,0,18.44,0,0,0
 72-82,0,0,7.28,0.56,0,0
 84-94,0,2.77,12.35,1.45,0,0
 96-106,0,6.65,18.37,0,0,2.48
108-118,0,0.78,19.24,0,0,0
120,0,0,7.13,0,0,0
