stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,41.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.09,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,0,0,0,0,0,0.97,0,3.67,0,0,0,0,0,0,0.95,0,6.58,10.21,0.88,0,0,0,0,0,0,8.12,4.34,1.85,0,0,1.91,0,0
 24-34,0,0,0.7,2.24,0.68,1.94,0.93,0,0,0,0,0,0.67,0,0,0,0,3.47,0,0,3.55,7.3,0,0,0,0,0,0,0,0,1.35,2.07,0,0,0,0,0
 36-46,0,0,0,1.96,0,0,1.73,0.58,0,0,0,0,0,0,0,0,0,2.04,0,0,2.98,5.84,0,1.15,0,0,0,7.62,0,0,0,1.66,0,0,0,0,0
 48-58,0,0,0,6.85,0,1.85,2.2,0.49,0,2.05,0,0,0,0.53,0,0,0,3.1,1.02,0,4.68,22.89,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.7,0,3.67,0.58,1.72,0,0,0,0,0,0,0,0,1.22,13.75,1.31,0,0.62,5.83,0.66,0,1.38,0,0.71,0.75,0,0,0,1.35,0,0,0,0.64,0
 72-82,0,0,0,4.85,0.56,1.57,0.96,4.11,1.1,1.93,0,0,0,0,0,0,0,17.59,4.51,0,2.73,15.77,0,0.6,0.58,0,0,9.22,0,0,0,0,2.69,0,3.28,2.58,0
 84-94,0,0,0,1.65,0.62,3,0,2.42,0,1.66,2.21,0,0,2.27,0.8,0,0,18.19,1.71,2.81,0,0,0,0,1.36,0,0,11.7,0,1.85,0,0,0,2.84,4,0.98,0
 96-106,0,0,0,3.2,8.48,9.67,0.93,1.45,0,3.59,4.62,0,0,1.9,0,0,2.8,50.78,4.18,1.24,0,16.66,0.64,0,0,0,0,7.68,0,0,0,0,0,1.08,3.89,1,0
108-118,0,0,0,12.45,2.41,5.74,0.43,4.25,1.05,2.9,0.75,0,0,4.36,0.95,0,1.9,60.63,0.71,9.19,8.35,22.16,1.72,0,0,0,0,12.15,0,0,0,0,0,0,3.7,3.84,1.88
120,0,0,0,6.97,14.34,11.93,3.15,1.41,2.41,0,0,0,0,0,0,4.85,2.13,57.33,0,2.61,1.82,18.57,0,0,10.2,0,12.2,3.28,0,0,0,0,1.37,6.76,0,0,0
