stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,1.06,0,0,0.84,16.02,19.12,5.23,0,0,0,0,2.73,0.91,8.03,0,0,0,0,0
 24-34,0,0,0,8.81,0,0,0,0.61,0,0,0,0,0,0,0,1.02,0,0,2.26,120.38,36.92,0,9.72,0,0,0,0,0,22.23,0,0,0,0,0
 36-46,0,0,0,28.11,0,0,0,7.63,0,0,0,0,0,0,0,1.25,0,0,0,344.06,19.7,0,0,0,0,0,0,0,33.95,0,0.85,0,0,0
 48-58,0,0.45,0,188.62,0,0,0,3.7,0,0,0,0,0,0,0,9.46,0,0,0,452.65,21.97,1.93,0,0,0,0,0,0,80.4,0,0,0,0,0
 60-70,0,6.03,0,1362.38,0,0,0,9.54,0,0,0,0,0,0,0,1.54,0,0,0,795.91,21.56,0,0,0,0,0,0,0,184.45,0,0,0,0,0
 72-82,0.5,5.51,2.81,3251.19,0,0,5.08,20.38,0,0,0,0.52,1.7,0,4.08,31.81,0,0,2.11,751.82,5.76,1.32,1.4,0.87,9.94,0,0,0,127.2,0,6.14,6.28,1.21,5.78
 84-94,0,13.99,0,3591,0.56,10.28,0.94,24.02,0,0,1.91,1.08,0,0,0,24.16,0,1.79,6.54,595.34,21.85,1.9,1.42,0,4.21,0,0,0,91.37,0,0,0,0,0.59
 96-106,0,20.11,16.87,3618.64,0,5.01,1.26,41.3,1.06,1.55,1.35,0,0,0.84,0,30.03,0,1.14,0.61,457.79,12,0,1.89,0,7.16,0,2.69,0,29.28,0.61,1.16,3.81,0.92,4.26
108-118,0,20.05,0.65,3501.1,4.34,1.62,0,25.96,1.41,0,1.05,0.85,2.39,0,7.63,25.64,6.46,8.39,0.54,702.29,18.43,7.43,0,0,6.12,0.94,0,0,22.24,0,0,0,4.95,10.63
120,0,18.38,12.9,4769.15,1.66,0,0,56.57,2.47,0,11.06,0,0,0,0,14.37,0,15.25,3.69,984.18,6.5,0,2.98,0,0,0,0,0,43.58,0,0,0,8.57,0
