stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.97,9.19,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,160.42,47.78,0,6.95,0,0,0,0,0,0,0,1.37,0,0,1.04,0,746.96,0,0,267.8,118.52,1.9,0,2.01,0,0,0,9.26,0,0,0.82,2.22,0,0,0,0,0
 24-34,8.03,0,0,240.08,17.77,0,3.72,0,0.62,3.41,0,0,0,0,0,3.59,20.24,4.24,0,3610.68,1.85,0,532.77,383.68,9.03,2.67,8.89,0,0,6.44,1.68,0,0.65,0,18.57,0,0,7.78,0,0
 36-46,0,0,0,61.5,4.63,0,7.63,0,0,18.93,1.83,0,2.65,0,0,0,24.79,12.43,6.64,4311.72,0,0.63,599.87,278.32,10.64,0,21.03,0,0,22.34,1.39,0,0,0,17.51,0,0,4.3,0,0
 48-58,0,0,0,31.09,9.15,0,58.21,0.7,7.64,58.33,11.06,0,4.6,7.46,0.46,5.36,16.75,0.48,0,6153.24,1.84,1.6,450.07,521.13,0,1.16,17.54,0,0,3.43,0,0,0,0,28.09,0,5.96,9.26,0,6.21
 60-70,0,0,0,19.57,4.44,0,113.9,1.23,0,59.24,3.95,0,0,0,0,0,13.58,3.93,0,8361.25,0,11.24,186.86,319.93,0,0,11.29,0,14.85,2.54,0,3.48,0,0,5.47,0,40,9.18,3.23,9.59
 72-82,0,0,1.4,35.43,2.17,0,250.05,4.38,0,78.07,14.27,2.67,0,0.66,0,0,8.95,3.3,0,9162.68,1.59,17.64,189.9,226.14,1.34,0,14.85,0,44.4,2.61,0,0,0,0,9.62,5.78,47.09,10.96,39.65,0
 84-94,5.55,0,0,17.1,0,0,272.41,0.56,8.89,54.49,17.35,0.66,2.31,2.09,3.11,1.92,15.78,0,0,7833.09,0,33.08,154.27,106.66,1.23,0,12.85,0,4.21,6.22,0,0,0,0,0.65,0,56.62,11.94,33.9,0
 96-106,0,0,0,28.16,12.72,0,199.28,0,2.29,75.52,23.06,2.06,0,5.9,0.78,0.92,3.43,0.59,0,6629.44,1.39,31.72,125.47,148.09,0,4.17,39.29,0,21.49,3.48,0,3.11,0,0,2.65,6.73,58.62,7.25,39.53,0
108-118,0,0,0,25.06,2.62,0,142.52,0,1.49,32.62,14.53,0.48,0.43,1.46,0.47,0,8.89,3.36,0,6590.35,1.14,25.19,128.97,228.7,0,0,17.03,0,32.91,1.36,0,0,0,0,2.57,0.68,38.16,13.53,47.45,0
120,0,0,0,51.72,0,1.71,127.05,0,0,66.7,17.65,0,0,0,0,0,2.05,32.26,0,5494.32,12.5,71.51,125.99,186.07,2.01,0,62,0,20.02,0,0,12.14,24,0,2.39,4.63,50.6,11.6,32.21,0
