stage,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,spinal_cord,vasculature
 14-21,0,0,0,0,0,0.9,0,0,0
 24-34,0,0,0,0,0,19.36,0,0,0
 36-46,0,0,0,1.3,0,99.82,0,0,0
 48-58,0,0,1.56,2.66,1.4,87.66,0,0,0
 60-70,0,0,3.51,9.66,0.62,156.56,0,0,0
 72-82,0,0,6.17,12.81,3.11,216.2,0,2.74,0
 84-94,0,0,4.43,4.92,2.14,118.93,0,0,0
 96-106,0,0.98,21.4,0.64,0.86,115.88,0,3.79,0
108-118,5.22,0,15.87,22.47,0,185.22,1.36,0,0.69
120,0,0,18.43,5.41,0,229.11,0,0,0
