stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,258.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0
  7-9,13.31,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.19,13.33,0,0,79.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.09,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.55,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.94,16.78,2.83,0,11.91,0,0,0,3.59,1.86,0,0,0,0,0,0,0,3.43,16.53,0.95,0,5.82,157.53,0,0,3.82,1.21,0,0,29.27,3,0,24.16,47.61,0,0,0,0
 24-34,0,0,0,0,4.73,0,0,16.49,0,0.68,0,1.62,0.67,0,0.86,0,0.75,0,0,0.94,0.62,11.01,0,0,9.63,221.77,0,3.79,1.35,0,0,10.31,0,0,0,18.99,39.01,0,6.5,0,0
 36-46,0,0,0,0,8.3,0,0,45.49,1.94,1.19,0.77,11.86,0,0,0,3.09,0,0.91,0.79,0,0,17.97,0,0,2.6,149.04,0.9,1.29,0,0,0,11.47,0,1.03,0,0,31.56,0,12.9,0,0
 48-58,0,0,0,0,3.59,0.43,0,67.33,0,6.3,0.55,28.05,0,0,1.23,0.7,0.44,0,2.86,2.99,0.4,31.43,0,0.51,3.11,131.18,0,2.96,0,0,0,4.4,0,0.47,0,0,18.69,0,2.99,0,0
 60-70,0,0,0,0,3.59,9.15,0,79.18,0,0.94,0,12.65,0.8,0,0.93,1.79,0,8.91,0,1.92,0,23.23,0,0.93,5,148.35,0.7,0.7,0.81,0,0,7.07,0,3.95,1.58,0,18.46,0,0.74,0,6.6
 72-82,0,0,0,0,3.14,0.59,0,38.55,0,0,0.64,6.44,0.59,0,0,0,2.86,0,0.61,0,0,20.64,2.88,0,3.6,77.1,0,3.87,1.51,0,0,2.78,0,0,0,0,11.63,1.62,8.13,0,0
 84-94,0,0,0,0,3.39,8.8,0,26.13,0,1.21,0,15.01,0,0.99,0,2.99,0.75,0,0.65,0,0,9.19,0,4.3,1.77,37.05,0.94,0,4.72,0,0,14.56,0,3.08,0,0,9.25,1.57,0.91,2.65,0
 96-106,0,0,0,0,0.6,6.02,0,34.63,0,0.61,1.01,6.75,0,0,0,2.83,2.27,1.2,0,0,7.05,19.99,0,0.92,0.61,40.81,0,1.43,0,0,0,7.41,0,0,0,0,1.19,0,0.99,0,0
108-118,0,0,1.77,0,9.08,6.82,0.66,43.08,0.97,0.54,0,8.08,0,0,0,1.42,1.29,1.36,0,0,0,21.38,1.08,0,2.24,82.21,0,6.2,0.72,0,3.05,7.07,0,0,0,0,8.12,0,2.95,0,0
120,0,0,0,0,7.96,13.67,0,24.37,0,1.22,0,7.33,0,0,0,13.36,2.78,1.05,1.77,0,0,32.91,0,10.53,2.07,93.4,1.08,0,2.44,0,0,16.57,0,0,0,0,0,0,5.77,0,0
