stage,axial,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0
 14-21,0,0,11.64,0,0,0,1.21,0,0,1.02,0,4.79,0,0,0,1.52,0,4.79,0,0,0,0
 24-34,0,0,0,1.34,0,0,0,0,0,1.02,3.44,6.44,1.54,0,0,1.82,0,3.52,0,0,0,0
 36-46,0,0,2.39,2.39,0,2.8,0,0,0,6.09,0,11.43,0,0,0,0,0,2.44,0,0,0,0
 48-58,0,0,0,7.28,0,1.59,0,0,5.47,4.09,1.27,5.41,0,0,0,0,0,2.24,0,0,0,1.36
 60-70,0,0.57,0,1,0,5.21,0,0,0,4.72,0.68,15.59,0,0,2.32,0,0,1.24,0,0,0,0.97
 72-82,0,0,0,1.28,0,1.13,0,0,0,10.36,0.54,5.78,0,0,1.61,0,0,4,0,0,0,0
 84-94,0,0,0.56,2.58,1.41,1.48,0,0,0,3.31,0,9.95,0.7,0,0,1.34,1.35,0,0,1.55,0,0
 96-106,0,0,0,0,0,7.01,0,1,0,4.06,0.79,4.42,0,0,0,0,0,0,0.9,0,0.87,0
108-118,0,0,1.82,1.01,0,1.64,0,0.68,0,11.19,0,4.47,0,0,0,0,0,0,0,1.88,0,0
120,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,2.37,0,0
