stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0
  7-9,5.45,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.53,5.33,0.84,0,0,0,0,2.19,0,0,0,0,0,163.75,0,0,91.53,34.01,0,0,0,0,1.08,3,1.3,3.28,0,0,0,1.55,0,0
 24-34,0,15.21,2.17,0.62,0,0,0,0,0,3.93,0,0,0,0,496.24,0,14.05,95.5,108.16,0,0.77,0,11.07,0,1.59,0.94,0.64,12.25,0,0,17.71,0,0
 36-46,0,18.4,5.85,1.49,0,0,8.94,0,0,2.99,0,0,0,0,632.04,0,115.77,111.28,97.94,1.37,0,0,4.22,0,6.58,0,0,3.28,0,10.84,23.23,0,0
 48-58,0,6.49,1.3,23.14,0,0.56,3.24,5.8,0,3.98,0,0,0,0,816.37,1.11,212.59,75.65,199.13,0,0,0,16.31,0.66,0,0,0,3.15,0,12.99,25.02,2.88,1.67
 60-70,0,0.91,0,35.6,1.82,5.31,4.77,4.34,0,6.27,0,0,0,2.74,900.95,0,377.23,24.29,106.8,6.22,0,0,9.17,5.23,0,0,0,7.61,0,132.89,22.87,87.24,0
 72-82,0,12.19,0,42.57,11.93,8.17,21.16,0.97,0,0,0,0,0,0,1272.1,0,250.65,37.51,64.1,1.04,0,0,21.14,2.77,0,0,0,8.45,0,174.91,37.85,281.25,3.72
 84-94,0,3.11,0,76.71,11.63,0,6.8,3.75,0,1.22,1.56,0,0,0,894.22,0,350.05,25.32,26.52,1.39,0,0,16.05,1.07,0,0,0,1.96,0,223.92,35.72,280.85,0
 96-106,0,8.59,0,46.17,10.49,0.59,5.67,8.87,4.44,0,0,1.88,2.21,13.85,892.48,0,179.91,33.59,54.73,0,0,0,38.21,0,0,0,0,0.63,0,160.85,56.91,269.95,0
108-118,0,1.58,1.18,46.48,6.08,2.53,6.36,0.52,0.46,2.64,0,0,0,0.73,981.54,0,264.42,24.13,64.25,1.95,0,0,64.33,0,0,0,0,0,1.01,168.28,49.07,248.62,0
120,0,14.98,0,23.21,9.79,2.67,4.21,10.92,0,0,0,0,0,0,1107.87,0,308.42,18.9,71.54,0,0,0,73.74,1.39,0,0,0,0,2.31,96.27,31.16,373.68,0
