stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.85,0,0,13.06,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.73,5.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0.82,0,0.98,0,0,0,0,0.97,0,0
 24-34,0,0,0,0.6,0,0,0,0,0,1.58,3.44,0,0,0,0,0.7,0,1.77
 36-46,0,0,0,0.89,0,0,0,0,1.09,0,0.59,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.74,0,0,0,0,2.56,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,6.38,0,0.98,0,0.99,0,0,1.15,0,0
 72-82,0,0,2.41,1.38,0,2.42,1.43,0,4.07,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.9,0,0.68,1.65,1.75,6.93,0,0,0,0,0,0,0
 96-106,0,0,0.58,1.96,0,2.9,1.15,0,2.5,0,0,0,0,0,0,2.85,0,0
108-118,0,0,3.33,0.52,0,0,3.57,0,2.7,0,2.51,0,0,0,0,0,0,0.78
120,0,1.27,5.42,0,1.31,23.3,37.27,0,21.7,0,24.3,0,0,0,11.17,12.63,5.4,1.23
