stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,33.3,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,0.9,0,0,0,0,0,0,0,2.25,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.57,0,0,0,1.85,0,0,0,0,0,0,0,1.44,0,0,0,0
 60-70,0,0,0,0,0,6.71,0,0,0,1.38,0,0,0,0,0,0,42.94,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.96,0,6.24,0.9,0,0,0,0,0,0,0,1.3,0,184.92,1.77,0,0,19.82,0,0,0,0,0,0,0,4.91,0,0.94,0,3.44
 84-94,0,0,0,0,0,2.35,0,0,0,3.42,0,0,0,0,0,0,579.71,3.35,0.76,0,21.74,0,0,0,0,0,3.84,0,0,0,0,0,0
 96-106,0,0,5.04,41.15,10.11,36.7,0.69,1.4,1.65,11.57,2.86,0,3.77,1.18,2.56,1.53,2061.5,28.13,0,6.38,273.06,0,2.07,1.81,0,1.44,15.21,0,0,6.77,3.86,1.38,0
108-118,0,0.52,7.19,2.02,0.44,60.11,0,2.6,0.71,13.61,1.8,0,0.61,0.47,0.68,0,4843.89,30.15,2.25,5.01,228.62,1.52,3.54,0.87,0,0,13.2,3.08,12.53,2.72,4.06,0,3.32
120,0,0,10.41,12.55,2.02,31.76,0,0,1.98,44.74,1.14,2.09,1.19,0,0,0,2679.25,18.32,0,0,210.26,0,2.71,2.33,0,0,2.03,0,0,0,9.87,0,0
