stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,6.43,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,114.72,19.19,0,0,52.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,3.2,0,7.97,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,177.41,23.9,0,0,17.44,0,0,14.56,0,9.11,0,0,0,0,0,0,0
 14-21,0,0,0,2.67,0,1.39,0,0,0,0,0,0,0,0,0,1.14,0,0,0.82,3.29,0,0,0,0,0,0,0,0.88,0,3.31,2.03,0.87,0,0,0,1.1
 24-34,0,0,0,0,0,1.51,0,1.44,0,0,0,0,0,0,0.72,11.05,0,0,3.68,26.31,0,1.26,0.67,0,0,0,0,0,0,1.01,0.68,3.94,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.78,0.86,0.57,0,0,0,0,0.66,7.38,0,1.73,1.37,41.07,0,1.4,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0
 48-58,0,0,0,0.64,0,3.8,0.41,0,3.28,0,0,0,0,0,0,16.06,0,0.53,0,23.45,5.65,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0.56
 60-70,0,0,0,2.08,0,14.86,0,0,4.7,0,0,0,0,0,0,3.23,0,0,0.67,26.09,6.76,0,0,0,0,6.2,0,0,0,0,0,1.32,0,0,0,0
 72-82,0,0,0,0,0,5.05,0,0,2.7,0,0,0.5,0,0.79,0,15,0,0,0.62,7.54,0,0,0,0,0,0,0,0,0,0,0,1.17,1.08,0,1.42,0
 84-94,0,0,0,1.42,0,5.63,0.63,1.59,0,1.01,0,0,0,0,0.83,24.8,0.65,0,4.21,5.49,0,0,1.31,0,0,0,0,0,0,0,0,0,1.24,3.78,0,0
 96-106,0,0,0,0,0,3.73,0.69,0,2.09,1.3,0,0,0,0,0.68,21.5,3.88,1.56,0,10.8,0,1.91,0,0,0.83,2.19,0,0,0,0,0,0,3.26,0.76,0,0
108-118,0,0,0,0.46,0,6.25,0,0.84,3.69,0.8,0.5,0,1.02,0,0,20.42,0,3.41,0,9.79,0,1.14,1.1,0,0,0.7,0,0,0,0,0,0,2.34,0,0,0
120,0,0,0,1.32,0,0,0,0,0,0,0,2.43,0,0,5.95,1.56,0,8.68,0,4.95,1.33,0,0,0,0,0,0,0,0,1.64,0,0,0,3.6,0,0
