stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,8.13,0,0,0,0,0
  7-9,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,5.05,0,27.44,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,13.03,0,0,0,0,0,0
 14-21,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,9.91,0,0,0,0,0,1.12,0,0,0
 24-34,0,0,0,1.22,0,2.52,0.61,0,0,0,0,0,0.88,0.64,29.68,0,0,0,0.87,0.75,2.01,0,0.72,0
 36-46,0,0,0.76,2.33,0,0,0,0,0.57,0,0,0,2.13,0,28.39,0,0,0,4.14,0,0,0,0,0
 48-58,0,0,3.77,0,0,0,0.6,0,0,0,0,0,0,0.64,27.76,1.41,0.44,0,0.68,0,0,0,0,0
 60-70,0,0,6.11,2.55,0.63,0,0,35.07,0,0,0,0,0.87,0,2.85,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.78,0,0,6.58,0,0,0,2.9,0.63,3.49,0,11.51,0,0,0,1.47,0,1.17,0.85,0,0
 84-94,0,0,4.61,10.37,0,0,0,0,0.77,0,0,0,0.98,0,7.83,0,0,0,0,0,1.21,0,0,0
 96-106,0,0,0,0,0,0,3.94,0.98,0,0,0,0,17.91,13,19.77,0,0,0,0,0,7.87,0,0,0
108-118,0,0,86.27,0,0,0,0,163.67,0.64,0.51,0,0,3.16,0,4.26,0,0,0,2.64,0,0,0,2.06,0.44
120,0,0,11.79,0,0,0,0,0,0,0,0,0,0,0,3.4,0,2.92,0,0,0,0,0,0,0
