stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0.88,40.65,0.96,1.25,3.67,0,4.73,0,0,0,0,0.99,3.2,0,0,84.71,12.29,57.44,1.84,0,4.32,32.88,0,0
 24-34,0,9.43,1.68,0.75,10.73,0,2.12,0,0,0,0,0,5.64,6.69,1.95,81.66,0,61.34,0,0,2.8,12.34,0,0
 36-46,0,11.82,0,0,2.49,2.43,4.53,0,0,0,0,3.31,7.35,0,0,43.64,0,42.01,0,0,0,12.88,0,0
 48-58,0,7.54,0,1.44,2.94,2.23,2.28,0,0,0,0,0.83,7.89,0,0.4,19.35,0,10.08,0,0,0,10.63,0,0
 60-70,0,0,0,4.06,4.48,9.04,1.5,0,0,0,0,0,10.4,0,0,11.67,0,1.62,0,0,0,0,0,0
 72-82,0,0,0,2.09,0.5,1.05,0.56,0,0.66,0,0,0,6.69,0,0,19.37,0,2.49,0,0,0,3.08,1.47,0
 84-94,0,0.71,0,0,2.04,1.43,0,0,0,0,0,0,7.99,0,0,3.77,0,6.05,0,0,0,0,0,1.09
 96-106,0,1.2,0,0,6,2.44,0,0,0,0,2.24,1.91,0,0,0,0,0,3.43,0,0,0,0,0,0
108-118,0,2.51,0.55,0,9.32,0,1.42,0,0,0.95,0,0,7.79,0,0,6.4,0,2.43,0,0.44,0,0,7.98,0
120,0,0,0,0,2.84,3.97,0,6.37,0,0,0,0,11.61,0,0,1.8,0,1.32,0,0,0,0,0,0
