stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,36.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.93,0,3.41,0,0,21.47,0,0,0,0,0,0,0,0,0,0,0,49.61,4.32,0,0,29.96,0,0,0,0,0,0,0
 10-12,0,0,23.77,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0,64.21,0,0,0,13.94,0,5.85,0,5.15,0,0,0
 14-21,0,0,0,0.9,2.01,0,0,1.83,0,0,0,2,0,0,0,0,1.37,12.73,0,0,0,0,0,0,3.9,0,1.92,0,0
 24-34,0,0,0,4.68,0,2.46,0.7,0,0,0,0,0,0,0,1.82,0,0.61,30.95,0,0,0.65,0,0.87,0,0,1.58,11,1.49,0
 36-46,0,0,0,7.04,0,4.35,0,2.33,0,0,2.69,0,0,0,4.09,0,0,41.46,0,1.1,0,0,0,0,0,0,4.5,0,0
 48-58,0,0,0,0.5,0,4.67,0,4.3,0,0.59,0,0,0,0,4.91,0,0.75,47.1,1.03,0,0.77,0,0,0,0,0,8.61,0,0
 60-70,0,0,0,0,0,22.09,0,9.09,0,1.47,0,0,0,0,3.43,0,0,39.04,0,0,0,0,0,0,0,0,2.35,0.74,0
 72-82,0,0.53,0,0.98,0,10.59,0,2.92,0,0,0,0,0,0.96,5.4,1.1,2.79,53.76,0,0,0,0,0,0,0,0,4.83,0,0
 84-94,0,0,0,0.66,0,0,0,9.76,0,0,0,0,0,0,4.4,0,0.76,26.21,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,10.5,0,3.45,0,0,0,0,0,0,5.71,0,0,14.02,0,0,0,0,0,0,0,0,0.58,0,0
108-118,0,0,0,0.51,0,10.48,1.75,8.14,2.8,1.02,0,0,0,0,0.94,0,0,22.49,0,0,1.06,0,3.12,0,0,0,0,0,1.03
120,0,0,0,0,0,0,0,0,0,0,0,2.21,1.6,0,0,0,0,14.6,0,0,0,0,0,0,0,0,2.1,0,0
