stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,409.97,8050.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.31,0,0,0,0,0,0
  5-6,549.1,7884.2,9.08,0,0,0,0,0,0,0,0,0,0,252.12,16.84,0,0,102.51,237.07,0,0,0,0,0,0
  7-9,100.73,205.24,166.61,0,0,418.31,0,0,128.65,0,0,0,0,3273.18,110.48,0,0,1009.32,3.63,28.17,0,0,0,0,0
 10-12,0,79.15,53.72,0,5.46,128.1,0,0,13.11,0,0,0,0,953.15,20.86,0,0,500.44,4.49,0,0,45.95,0,3.11,0
 14-21,0,0,5.59,58.09,4.77,63.39,1.95,2.24,0,0.84,0,22.25,14.9,275.7,9.85,3.25,2.31,11.4,1.7,1.53,34.13,8.4,3.67,41.35,74.51
 24-34,0,0,0,0,1.11,5.84,0,0,0,0,0,2.16,3.64,29.65,0.68,0,0,0,14.06,0,0,0,0,0,9
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,3.21,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.81,0,0,0,0,0,0.43,0,0.65,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.65,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.62,9.53,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.88,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.8,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
