stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,88.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.47,3.31,0,3.64,0,0,29.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.16,24.66,0,0,113.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,5.46,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.16,0,0,0,98.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.01,5.15,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,5.36,1.03,0,0,0.96,1.97,2.79,3.57,0,0,4.86,0,0,0,2.28,0,0
 24-34,0,0,0,0,11.52,0,1.77,0,0.82,0.62,0,2.67,0,0,0,0,0,2.93,0,0,1.69,23.27,0,0,0,0,1.18,0,0,0,0,10.5,0,0,1.9,0,0
 36-46,0,0,0,0,5.37,0,0,0.76,3.03,0,2.26,0,0,0,2.47,0,0.74,0.77,0,0,0,27.4,0,0,0,0,0.62,0,0,0,0,1.88,0,0,1.44,0,0
 48-58,0,0,0,0,15.88,0,1.9,0,0,0.78,6.55,0,0,0,0,0,0,1.77,0,0.46,0,40.98,0,0.98,0,0,0,0,0,0,0,4.69,0,0,0.4,0,1.9
 60-70,0,0,0,0,9.97,0,7.27,0,2.61,0,2.48,0,0,0,0,0,0,0.84,0,0,2.3,37.68,0,0,2.96,0,0,0,3.74,0,0,2.49,0,1.84,3.38,0,2.08
 72-82,0,0,0,0,6.64,1.2,14.16,0,2.78,0,8.7,0,0.89,0,0,0,1.9,13.22,0,0,0,50.44,0,0,2.39,0,0,0,0,0,0,1.57,0,0,7.7,0,2.27
 84-94,0,0,0,0,5.46,0,33.11,0,3.23,0,6.85,0,0.79,0,0.68,0,0,6.7,0,0,0,13.11,0,0,0,0,0,0,0,0.62,0,3.11,0.57,0,14.65,0,7.83
 96-106,0,0,0,0,9.12,0,3.85,0,0,0,4.71,0,2.2,0,0,0,0,20.01,1.89,0,0.81,22.85,0,1.3,0,0,1.7,0,0,0,0,1.99,0,0,0,0,0
108-118,0,0,2.91,0,1.04,0,8.85,0,0,0,15.18,0,0,0.6,1.51,0,0,9.64,0,0,0.46,39.56,0,1.82,0,0,0,0,0,0,0,1.01,1.89,0.99,6.54,0,1.56
120,0,0,0,0,0,0,30.95,0,4.54,0,43.19,0,0,0,0,8.87,0,4.86,0,0,0,63.28,0,2.92,0,0,0,0,0,0,0,5.09,0,0,3.65,1.59,0
