stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,80.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,58.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.38,5.9,0,0,52.11,0,0,0,0,0,0
 10-12,0,15.32,3.62,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,130.18,5.32,0,0,60.33,0,3.99,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0.81,6.37,0,0
 24-34,0,0,0,0.6,0.69,0,2.13,0,0,0,0,0,0,0,5.04,0,0.62,16.73,0,0,0,0,2.04,0,0,1.2,0.62,0
 36-46,0,0,0,0,0,0,1.25,0,0,1.4,0,0,0,0,0.8,0,0,10.38,0,0.63,0,0,0,0,0,2.84,0,0
 48-58,0,0,0,3.41,0,0,8.23,0.53,0,0,0,0.7,0,0,0.96,0,0,21.89,0,0,0,0,0,2.01,0,2.02,3.05,0
 60-70,0,0,0,0.88,0,0,3.53,0,0.99,0,0,0,0,0,1.03,0,2.9,10.79,0,0,0,0,2.83,0,0,0,1.29,0
 72-82,0,0,0,0,0,0,2.25,0,0,1.8,0,0,0.54,0,6.56,0,0,4.76,0,0,0,0,1.37,0,0,0,1.3,6.08
 84-94,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,3.02,0.8,0,0,0,0,0,0,2.94,0,0,0,0,0
 96-106,0,0,0,0.61,0.67,0,0.7,0,0,0,0,0,0,0,2.27,0,0.92,1.62,0,0,4.34,0,1.78,0,0,0,0,0
108-118,0,0,0,0,4.45,1.65,1.4,0,1.28,0,0,0,0,1.11,1.66,0,0,3.84,0,0,0,0,1.34,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,13.17,0,0,25.78,0,0,0,0,0,0,0,0,0,0
